# Time, Mode, Ch0, Ch1, Ch2, Ch3, Ch4, Ch5, Ch6, Ch7, Total, RA, DEC
222.447906,144.000000, 11.000000, 11.000000,  6.000000, 11.000000,  8.000000,  7.000000,  7.000000, 29.000000,  0.000000,  2.719233, 16.912486
222.450104,144.000000, 12.000000,  7.000000, 11.000000,  9.000000,  6.000000, 10.000000,  8.000000, 24.000000,  0.000000,  2.719233, 16.912486
222.452301,144.000000, 11.000000, 13.000000,  8.000000,  9.000000, 16.000000,  9.000000,  8.000000, 29.000000,  0.000000,  2.719233, 16.912486
222.454514,144.000000, 16.000000,  5.000000,  7.000000,  9.000000, 11.000000,  3.000000,  8.000000, 23.000000,  0.000000,  2.719233, 16.912486
222.456787,144.000000, 10.000000,  7.000000, 11.000000,  6.000000,  9.000000,  8.000000,  9.000000, 20.000000,  0.000000,  2.719233, 16.912486
222.459000,144.000000, 11.000000,  6.000000,  5.000000, 10.000000,  7.000000, 12.000000, 11.000000, 35.000000,  0.000000,  2.719233, 16.912486
222.461197,144.000000, 17.000000,  9.000000, 11.000000, 11.000000,  7.000000,  5.000000,  9.000000, 34.000000,  0.000000,  2.719233, 16.912486
222.463409,144.000000, 16.000000, 10.000000,  6.000000, 10.000000,  9.000000, 12.000000,  6.000000, 41.000000,  0.000000,  2.719233, 16.912486
222.465607,144.000000, 17.000000,  7.000000,  7.000000,  7.000000,  6.000000, 12.000000, 12.000000, 27.000000,  0.000000,  2.719233, 16.912486
222.467880,144.000000, 14.000000,  9.000000,  6.000000, 12.000000,  6.000000, 12.000000,  2.000000, 30.000000,  0.000000,  2.719233, 16.912486
222.470093,144.000000, 14.000000, 12.000000,  8.000000,  9.000000,  4.000000, 11.000000,  6.000000, 25.000000,  0.000000,  2.719233, 16.912486
222.472290, 16.000000, 12.000000, 10.000000,  8.000000, 15.000000, 12.000000,  7.000000,  6.000000, 37.000000,  0.000000,  2.719233, 16.912486
222.474503, 16.000000, 47.000000,  1.000000,  5.000000,  3.000000,  1.000000,  4.000000,  0.000000, 21.000000,  0.000000,  2.719233, 16.912486
222.478973, 16.000000, 53.000000,  3.000000,  1.000000,  2.000000,  1.000000,  2.000000,  8.000000, 12.000000,  0.000000,  2.719233, 16.912486
222.481186, 16.000000, 56.000000,  1.000000,  1.000000,  4.000000,  1.000000,  3.000000,  2.000000, 13.000000,  0.000000,  2.719233, 16.912486
222.483383, 16.000000, 42.000000,  9.000000,  3.000000,  1.000000,  0.000000,  1.000000,  3.000000, 19.000000,  0.000000,  2.719233, 16.912486
222.485596, 16.000000, 57.000000,  7.000000,  4.000000,  1.000000,  3.000000,  8.000000,  3.000000, 12.000000,  0.000000,  2.719233, 16.912486
222.487869, 16.000000, 61.000000,  3.000000,  1.000000,  2.000000,  1.000000,  3.000000,  0.000000, 26.000000,  0.000000,  2.719233, 16.912486
222.490067, 16.000000, 45.000000,  1.000000,  0.000000,  1.000000,  1.000000,  1.000000,  0.000000, 16.000000,  0.000000,  2.719233, 16.912486
222.492279, 16.000000, 40.000000,  2.000000,  5.000000,  5.000000,  1.000000,  3.000000,  2.000000, 20.000000,  0.000000,  2.719233, 16.912486
222.494476, 16.000000, 51.000000,  3.000000,  2.000000,  5.000000,  1.000000,  3.000000,  0.000000, 16.000000,  0.000000,  2.719233, 16.912486
