222.527832  16    43.0     2.0     3.0     3.0     2.0     3.0     2.0    11.0
222.530029  16    49.0     2.0     4.0     1.0     2.0     1.0     3.0    21.0
222.532242  16    47.0     4.0     2.0     4.0     1.0     3.0     2.0    19.0
222.534439  16    49.0     4.0     3.0     3.0     5.0     3.0     1.0    12.0
222.538925  16    48.0     4.0     0.0     0.0     2.0     4.0     4.0    14.0
222.541122  16    48.0     8.0     5.0     5.0     9.0     4.0     1.0    16.0
222.543335  16    56.0     3.0     2.0     3.0     1.0     2.0     3.0    14.0
222.545609  16    43.0     3.0     4.0     4.0     1.0     0.0     3.0    21.0
222.547806  16    52.0     2.0     4.0     4.0     2.0     2.0     1.0    16.0
222.550018  16    48.0     3.0     2.0     2.0     6.0     3.0     3.0    17.0
222.552216  16    50.0     3.0     1.0     0.0     1.0     2.0     6.0    20.0
222.554428  16    50.0     7.0     4.0     1.0     5.0     3.0     9.0    22.0
222.556702  16    45.0     5.0     2.0     2.0     1.0     1.0     3.0    16.0
222.558899  16    53.0     5.0     7.0     5.0     1.0     1.0     3.0    14.0
222.561111  16    42.0     2.0     0.0     5.0     1.0     2.0     2.0    16.0
222.563324  16    44.0     3.0     2.0     1.0     1.0     3.0     2.0    15.0
222.565582  16    42.0     5.0     0.0     2.0     1.0     5.0     4.0    15.0
222.567795  16    34.0     7.0     2.0     4.0     2.0     2.0     4.0    27.0
222.570007  16    50.0     8.0     1.0     4.0     2.0     2.0     2.0    14.0
222.572205  16    43.0     2.0     2.0     4.0     1.0     2.0     3.0    16.0
222.574417  16    27.0     1.0     1.0     3.0     3.0     3.0     2.0    31.0
222.576691  16    69.0     3.0     2.0     2.0     0.0     3.0     0.0    11.0
222.578888  16    51.0     2.0     4.0     4.0     2.0     4.0     1.0     6.0
222.581100  16    39.0     2.0     1.0     3.0     0.0     1.0     5.0    14.0
222.583298  16    73.0     3.0     1.0     3.0     4.0     1.0     2.0    15.0
222.585571  16    63.0     2.0     1.0     1.0     0.0     1.0     3.0    18.0
222.607758  16    79.0     3.0     6.0     3.0     3.0     4.0     0.0    23.0
222.609970  16    56.0     2.0     3.0     3.0     0.0     3.0     2.0    16.0
222.612167  16    46.0     4.0     4.0     3.0     4.0     0.0     0.0    15.0
222.614380  16    57.0     4.0     3.0     2.0     0.0     3.0     5.0    14.0
222.616653  16    43.0     8.0     4.0     3.0     4.0     3.0     0.0    12.0
222.618851  16    46.0     5.0     4.0     2.0     1.0     4.0     4.0    22.0
222.621063  16    46.0     3.0     4.0     1.0     2.0     1.0     3.0    11.0
222.623260  16    48.0     5.0     2.0     2.0     3.0     4.0     1.0    11.0
222.625534  16    36.0     2.0     2.0     5.0     3.0     1.0     2.0    16.0
222.627747  16    65.0     2.0     3.0     4.0     3.0     1.0     1.0    19.0
222.629944  16    55.0     3.0     2.0     3.0     1.0     1.0     2.0    11.0
222.632156  16    55.0     3.0     3.0     6.0     0.0     6.0     3.0    18.0
222.634354  16    50.0     4.0     1.0     4.0     2.0     2.0     1.0     9.0
222.636627  16    57.0     2.0     3.0     3.0     2.0     0.0     2.0    16.0
222.638840  16    67.0     1.0     4.0     2.0     1.0     3.0     1.0    15.0
222.641037  16    59.0     3.0     2.0     5.0     7.0     2.0     2.0    10.0
222.643250  16    48.0     3.0     0.0     3.0     2.0     1.0     3.0    12.0
222.645523  16    48.0     3.0     1.0     7.0     4.0     4.0     4.0    14.0
222.647720  16    51.0     5.0     3.0     2.0     3.0     1.0     1.0    14.0
222.649933  16    45.0     5.0     3.0     1.0     1.0     1.0     2.0    14.0
222.652130  16    59.0     0.0     1.0     3.0     4.0     2.0     3.0    15.0
222.654343  16    46.0     0.0     3.0     2.0     0.0     3.0     3.0    17.0
222.656616  16    48.0     5.0     5.0     1.0     4.0     5.0     1.0    13.0
222.658813  16    44.0     2.0     2.0     2.0     1.0     3.0     1.0    17.0
222.661026  16    58.0     7.0     5.0     0.0     4.0     3.0     2.0     7.0
222.663223  16    38.0     3.0     6.0     1.0     5.0     1.0     2.0    20.0
222.665497  16    41.0     2.0     4.0     0.0     2.0     0.0     0.0    15.0
222.667709  16    46.0     3.0     0.0     1.0     3.0     1.0     3.0    15.0
222.669907  16    63.0     1.0     2.0     6.0     1.0     3.0     3.0    19.0
222.672119  16    56.0     2.0     0.0     2.0     2.0     1.0     4.0    11.0
222.674316  16    51.0     5.0     7.0     0.0     3.0     3.0     0.0    15.0
222.676590  16    39.0     1.0     3.0     2.0     1.0     2.0     1.0    15.0
222.678802  16    48.0     2.0     7.0     1.0     1.0     2.0     3.0    13.0
222.681000  16    53.0     2.0     1.0     5.0     1.0     3.0     2.0    18.0
222.683212  16    47.0     1.0     4.0     6.0     1.0     1.0     3.0    18.0
222.685486  16    50.0     4.0     2.0     2.0     3.0     3.0     1.0    11.0
222.687698  16    50.0     1.0     3.0     0.0     4.0     2.0     2.0    17.0
222.689896  16    36.0     0.0     0.0     1.0     2.0     1.0     1.0    15.0
222.692093  16    41.0     3.0     5.0     1.0     1.0     1.0     3.0     9.0
222.694382  16    61.0     3.0     3.0     1.0     2.0     2.0     1.0    12.0
222.696579  16    46.0     6.0     4.0     1.0     2.0     1.0     1.0    16.0
222.698776  16    32.0     2.0     3.0     1.0     3.0     2.0     4.0    21.0
222.700989  16    55.0     8.0     2.0     2.0     1.0     3.0     0.0    20.0
222.703201  16    56.0     6.0     1.0     2.0     2.0     1.0     1.0    18.0
222.705475  16    57.0     0.0     7.0     5.0     1.0     2.0     0.0    12.0
222.707672  16    52.0     2.0     3.0     3.0     4.0     4.0     3.0    13.0
222.709885  16    45.0     4.0     2.0     1.0     2.0     3.0     0.0    15.0
222.712082  16    51.0     5.0     4.0     2.0     1.0     3.0     1.0    22.0
222.714355  16    44.0     1.0     4.0     3.0     2.0     2.0     4.0    22.0
222.716568  16    50.0     3.0     3.0     3.0     4.0     2.0     2.0    12.0
222.718765  16    63.0     6.0     3.0     2.0     2.0     3.0     4.0     7.0
222.720978  16    57.0     1.0     1.0     1.0     1.0     0.0     3.0    16.0
222.723175  16    49.0     3.0     3.0     0.0     0.0     3.0     1.0     9.0
222.725449  16    63.0     5.0     5.0     2.0     2.0     2.0     4.0    13.0
222.727661  16    47.0     2.0     2.0     2.0     1.0     5.0     3.0    18.0
222.729858  16    60.0     2.0     1.0     3.0     0.0     2.0     4.0    15.0
222.732071  16    31.0     3.0     4.0     1.0     1.0     4.0     2.0    12.0
222.734344  16    48.0     7.0     4.0     5.0     3.0     3.0     4.0    12.0
222.736542  16    44.0     3.0     4.0     2.0     2.0     3.0     2.0    13.0
222.738754  16    47.0     8.0     2.0     3.0     2.0     2.0     0.0    14.0
222.740952  16    40.0     8.0     2.0     3.0     2.0     1.0     5.0    11.0
222.743164  16    48.0     9.0     1.0     2.0     1.0     2.0     1.0    20.0
222.745438  16    34.0     2.0     3.0     0.0     1.0     3.0     4.0    11.0
222.747635  16    55.0     1.0     2.0     3.0     4.0     1.0     3.0     9.0
222.749847  16    31.0     2.0     2.0     1.0     2.0     3.0     1.0    15.0
222.752045  16    54.0     3.0     4.0     3.0     0.0     2.0     1.0    11.0
