# GET [h], RA [h], DEC [deg]
224.94972,12.170312,-17.676696
224.95062,12.170757,-17.660314
224.95152,12.170103,-17.635644
224.95242,12.169447,-17.610962
224.9534,12.168741,-17.584359
224.9543,12.168085,-17.55967
224.95522,12.16743,-17.534932
224.95612,12.166775,-17.51025
224.95702,12.166118,-17.485555
224.95792,12.165461,-17.460853
224.95882,12.164803,-17.436147
224.95972,12.164145,-17.411439
224.96063,12.16349,-17.386724
224.96431,12.160807,-17.28593
224.96521,12.160149,-17.261205
224.96611,12.15949,-17.236473
224.96701,12.158795,-17.212012
224.96791,12.157934,-17.188757
224.96883,12.157075,-17.165479
224.96973,12.156213,-17.142221
224.97069,12.155284,-17.117194
224.9716,12.154423,-17.093929
224.9725,12.153561,-17.070673
224.9734,12.152699,-17.047422
224.9743,12.151837,-17.024178
224.9752,12.150974,-17.000923
224.9761,12.15011,-16.97767
224.97702,12.14925,-16.954383
224.97792,12.148386,-16.931132
224.97888,12.147455,-16.906105
224.9798,12.146594,-16.882822
224.9807,12.145729,-16.859567
224.9816,12.144866,-16.836331
224.9825,12.144001,-16.813067
224.9834,12.143136,-16.789817
224.9843,12.144616,-16.773673
224.98521,12.146448,-16.758552
224.98611,12.148279,-16.743429
224.98701,12.150109,-16.728295
224.98799,12.15208,-16.711952
224.98889,12.15391,-16.696784
224.98979,12.155738,-16.681593
224.99069,12.157567,-16.666387
224.9916,12.159397,-16.651149
224.9925,12.161225,-16.635908
224.99341,12.163054,-16.620641
224.99431,12.164879,-16.605346
224.99521,12.166707,-16.590057
224.99619,12.168676,-16.573567
224.99709,12.170501,-16.55823
224.99799,12.172328,-16.542883
224.99889,12.174154,-16.527526
224.99979,12.175979,-16.512153
225.0007,12.175302,-16.51946
225.0016,12.172677,-16.544449
225.0025,12.170051,-16.569421
225.0034,12.167423,-16.594399
225.0043,12.164795,-16.619372
225.00528,12.161963,-16.646212
225.00618,12.159333,-16.671162
225.00708,12.156701,-16.696106
225.00798,12.154069,-16.721043
225.0089,12.151437,-16.745935
225.0098,12.148802,-16.770849
225.0107,12.146165,-16.795751
225.0116,12.143528,-16.820653
225.0125,12.14089,-16.845548
225.01347,12.138049,-16.872358
225.01437,12.13541,-16.89725
225.01527,12.132768,-16.92211
225.01617,12.130126,-16.946978
225.01709,12.128722,-16.971274
225.01799,12.130935,-16.994072
225.01889,12.133148,-17.01684
225.01979,12.13536,-17.039597
225.02069,12.137573,-17.062334
225.02159,12.139788,-17.085064
225.02257,12.142173,-17.109483
225.02347,12.144387,-17.13217
225.02437,12.146602,-17.154845
225.02528,12.148817,-17.17747
225.02618,12.151033,-17.200097
225.02708,12.153247,-17.222706
225.02798,12.155464,-17.245313
225.02888,12.15768,-17.267883
225.02979,12.159897,-17.290417
225.03076,12.162284,-17.314686
225.03166,12.164501,-17.337216
225.03256,12.166719,-17.359714
225.03348,12.168937,-17.382153
225.03438,12.169181,-17.402239
225.03528,12.169314,-17.422194
225.03618,12.169447,-17.442152
225.03708,12.169579,-17.462093
225.03798,12.169711,-17.482057
225.0389,12.169843,-17.501968
225.03986,12.169985,-17.523497
225.04077,12.170115,-17.543428
225.04167,12.170246,-17.563401
225.04257,12.170376,-17.583369
225.04347,12.170505,-17.603332
225.04437,12.170634,-17.623315
225.04527,12.170763,-17.64329
225.04617,12.17089,-17.663257
225.04709,12.171021,-17.683206
225.04805,12.171157,-17.704736
225.04897,12.171286,-17.72468
225.04987,12.171413,-17.744667
225.05077,12.170067,-17.74564
225.05167,12.167891,-17.735899
225.05257,12.165717,-17.726151
225.05347,12.163543,-17.716373
225.05438,12.161368,-17.706554
225.05528,12.159195,-17.696761
225.05618,12.15702,-17.68692
225.05716,12.154679,-17.676285
225.05806,12.152505,-17.666427
225.05896,12.150331,-17.656538
225.05986,12.148157,-17.646633
225.06076,12.145982,-17.636702
225.06166,12.143809,-17.626784
225.06258,12.141637,-17.616775
225.06348,12.139463,-17.606804
225.06438,12.137289,-17.596808
225.06535,12.134948,-17.586025
225.06625,12.132775,-17.575991
225.06715,12.131527,-17.561706
225.06805,12.132143,-17.53885
225.06895,12.132759,-17.516006
225.06985,12.133374,-17.493163
225.07077,12.133991,-17.470284
225.07167,12.134606,-17.44745
225.07257,12.13522,-17.424618
225.07347,12.135835,-17.401792
225.07445,12.136497,-17.377198
225.07535,12.137111,-17.354384
225.07625,12.137724,-17.331569
225.07715,12.138338,-17.308769
225.07805,12.138951,-17.285959
225.07896,12.139565,-17.263156
225.07986,12.140178,-17.240369
225.08076,12.14079,-17.217577
225.08167,12.141403,-17.19478
225.08264,12.142064,-17.170259
225.08354,12.142684,-17.14781
225.08444,12.143683,-17.138714
225.08534,12.144682,-17.129608
225.08624,12.14568,-17.120484
225.08716,12.14668,-17.111316
225.08806,12.147679,-17.102181
225.08896,12.148678,-17.093048
225.08986,12.149677,-17.08389
225.09076,12.150675,-17.074727
225.09174,12.151751,-17.064827
225.09264,12.15275,-17.055657
225.09354,12.153749,-17.046467
225.09445,12.154748,-17.037255
225.09535,12.155746,-17.028037
225.09625,12.156745,-17.018831
225.09715,12.157744,-17.009617
225.09805,12.158742,-17.000381
225.09895,12.159741,-16.991156
225.09993,12.160817,-16.981168
225.10083,12.161823,-16.979656
225.10173,12.162834,-16.981215
225.10265,12.163846,-16.982724
225.10355,12.164856,-16.984259
225.10445,12.165866,-16.98579
225.10535,12.166876,-16.987305
225.10625,12.167889,-16.988842
225.10715,12.1689,-16.990337
225.10806,12.169912,-16.991821
225.10902,12.171001,-16.99344
225.10992,12.172013,-16.994917
225.11084,12.173026,-16.996355
225.11174,12.174038,-16.997812
225.11264,12.175051,-16.999271
225.11354,12.176063,-17.000709
225.11444,12.177076,-17.002152
225.11534,12.178089,-17.003578
225.11626,12.179104,-17.004973
225.11722,12.179245,-17.00703
225.11812,12.177936,-17.009715
225.11903,12.176626,-17.012383
225.11993,12.175317,-17.01508
225.12083,12.174008,-17.017779
225.12173,12.172699,-17.020469
225.12263,12.171391,-17.023176
225.12354,12.170083,-17.025865
225.12445,12.168776,-17.028561
225.12535,12.167469,-17.03128
225.12631,12.166061,-17.034228
225.12723,12.164756,-17.036917
225.12813,12.163449,-17.03964
225.12903,12.162142,-17.042369
225.12993,12.160836,-17.045107
225.13083,12.15953,-17.047838
225.13173,12.158226,-17.050597
225.13264,12.156922,-17.053324
225.13354,12.155627,-17.055929
225.13452,12.15467,-17.052479
225.13542,12.15378,-17.0493
225.13632,12.15289,-17.046113
225.13722,12.152001,-17.04293
225.13812,12.151112,-17.039765
225.13902,12.150223,-17.036584
225.13992,12.149333,-17.033414
225.14084,12.148445,-17.030198
225.14174,12.147555,-17.027012
225.14264,12.146667,-17.023862
225.14362,12.14571,-17.02042
225.14452,12.144822,-17.017253
225.14542,12.143932,-17.014083
225.14632,12.143042,-17.010908
225.14722,12.142154,-17.00775
225.14813,12.141266,-17.004573
225.14903,12.140376,-17.001399
225.14993,12.139487,-16.998229
225.15083,12.140652,-16.988775
225.15181,12.142783,-16.975883
225.15271,12.14476,-16.963938
225.15361,12.146738,-16.952001
225.15451,12.148714,-16.940067
225.15541,12.150691,-16.928139
225.15633,12.152668,-16.91617
225.15723,12.154645,-16.904261
225.15813,12.156619,-16.892338
225.15903,12.158595,-16.880432
225.15993,12.16057,-16.868534
225.1609,12.162697,-16.855723
225.1618,12.164672,-16.843829
225.1627,12.166646,-16.831953
225.1636,12.16862,-16.820072
225.16452,12.170594,-16.808151
225.16542,12.172568,-16.796282
225.16632,12.174541,-16.784421
225.16722,12.17519,-16.774452
225.16812,12.173923,-16.767215
225.1691,12.17256,-16.7594
225.17,12.171293,-16.752161
225.1709,12.170026,-16.744909
225.1718,12.16876,-16.73767
225.17271,12.167493,-16.730395
225.17361,12.166226,-16.72314
225.17451,12.164959,-16.715884
225.17542,12.163692,-16.708603
225.17632,12.162425,-16.701334
225.17729,12.16106,-16.693504
225.17819,12.159792,-16.686234
225.1791,12.158526,-16.678955
225.18,12.157259,-16.671691
225.18091,12.155992,-16.664387
225.18181,12.154724,-16.657095
225.18271,12.153456,-16.649809
225.18361,12.152236,-16.646241
225.18451,12.151426,-16.675604
225.18541,12.150614,-16.704965
225.18639,12.14974,-16.73659
225.18729,12.148926,-16.765978
225.1882,12.148111,-16.795344
225.1891,12.147293,-16.82473
225.19,12.146474,-16.854129
225.1909,12.145654,-16.883534
225.1918,12.144833,-16.912942
225.1927,12.144011,-16.942369
225.1936,12.143186,-16.971786
225.19458,12.142298,-17.003464
225.19548,12.14147,-17.032891
225.1964,12.140643,-17.062296
225.1973,12.139813,-17.09173
225.1982,12.138982,-17.121181
225.1991,12.138148,-17.150625
225.2,12.137313,-17.180076
225.2009,12.137051,-17.207468
225.20181,12.136939,-17.234283
225.20271,12.136826,-17.261115
225.20367,12.136703,-17.289999
225.20459,12.136592,-17.316799
225.20549,12.136478,-17.343607
225.20639,12.136364,-17.370406
225.20729,12.136252,-17.397209
225.20819,12.136138,-17.423992
225.20909,12.136024,-17.450778
225.21,12.135912,-17.477552
225.2109,12.135798,-17.504324
225.21187,12.135676,-17.533137
225.21278,12.135562,-17.55988
225.21368,12.135448,-17.58663
225.21458,12.135335,-17.61339
225.21548,12.13522,-17.640121
225.21638,12.135106,-17.666854
225.21729,12.13613,-17.678303
225.2182,12.13836,-17.673578
225.2191,12.14059,-17.668847
225.22,12.142819,-17.664075
225.22098,12.145221,-17.658888
225.22188,12.14745,-17.654059
225.22278,12.14968,-17.649202
225.22368,12.151909,-17.644316
225.22458,12.154139,-17.639401
225.22548,12.156369,-17.63446
225.2264,12.158601,-17.629465
225.2273,12.160833,-17.624475
225.2282,12.163063,-17.619444
225.22917,12.165466,-17.614004
225.23007,12.167697,-17.608927
225.23097,12.169928,-17.603821
225.23187,12.172159,-17.59868
225.23277,12.17439,-17.593512
225.23367,12.176025,-17.586677
225.23459,12.174901,-17.57221
225.23549,12.173776,-17.557775
225.23639,12.17265,-17.543326
225.23729,12.171524,-17.528893
225.23827,12.170315,-17.513347
225.23917,12.169189,-17.498909
225.24007,12.168064,-17.484491
225.24097,12.166939,-17.470068
225.24188,12.165815,-17.455643
225.24278,12.164691,-17.441227
225.24368,12.163565,-17.426799
225.24458,12.16244,-17.41239
225.24548,12.161316,-17.397986
225.24646,12.160106,-17.382452
225.24736,12.158982,-17.368058
225.24826,12.157858,-17.353661
225.24916,12.156734,-17.339269
225.25008,12.15561,-17.324825
225.25098,12.15411,-17.302438
225.25188,12.152552,-17.278828
225.25278,12.150997,-17.25522
225.25368,12.14944,-17.231579
225.25458,12.147884,-17.207938
225.25555,12.146208,-17.182447
225.25645,12.144651,-17.158759
225.25735,12.143097,-17.135088
225.25827,12.141543,-17.111339
225.25917,12.139988,-17.087624
225.26007,12.138433,-17.063885
225.26097,12.136878,-17.040123
225.26187,12.135324,-17.016373
225.26277,12.133769,-16.992581
225.26375,12.132097,-16.966956
225.26465,12.130543,-16.943143
225.26555,12.128989,-16.919304
225.26646,12.127436,-16.895458
225.26736,12.128173,-16.88333
225.26826,12.130692,-16.880327
225.26917,12.13321,-16.877332
225.27007,12.135728,-16.874393
225.27097,12.138246,-16.871464
225.27188,12.140765,-16.868555
225.27284,12.143477,-16.865485
225.27374,12.145995,-16.862641
225.27466,12.148515,-16.859792
225.27556,12.151034,-16.857009
225.27646,12.153553,-16.854252
225.27736,12.156072,-16.851512
225.27826,12.15859,-16.848806
225.27916,12.161108,-16.846125
225.28008,12.163628,-16.84343
225.28104,12.166341,-16.84062
225.28195,12.16886,-16.83801
225.28285,12.171379,-16.835425
225.28375,12.172655,-16.84398
225.28465,12.170291,-16.884969
225.28555,12.167925,-16.925936
225.28645,12.16556,-16.966934
225.28735,12.163192,-17.007889
225.28827,12.160827,-17.048832
225.28917,12.158457,-17.089789
225.29015,12.155905,-17.133877
225.29105,12.153534,-17.174823
225.29195,12.151161,-17.215765
225.29285,12.148787,-17.256701
225.29375,12.146412,-17.297627
225.29465,12.144037,-17.338555
225.29556,12.14166,-17.379453
225.29646,12.139281,-17.420362
225.29736,12.136902,-17.461264
225.29834,12.134339,-17.505294
225.29924,12.131956,-17.546165
225.30014,12.129574,-17.587061
225.30104,12.132514,-17.60514
225.30194,12.135752,-17.621931
225.30284,12.138989,-17.638709
225.30376,12.142229,-17.65547
225.30466,12.145468,-17.672255
225.30556,12.148707,-17.68903
225.30646,12.151944,-17.705791
225.30743,12.155432,-17.723835
225.30833,12.158671,-17.740589
225.30923,12.16191,-17.75734
225.31013,12.165149,-17.774089
225.31104,12.168389,-17.790816
225.31195,12.171629,-17.807522
225.31285,12.174868,-17.82425
225.31375,12.178108,-17.840976
225.31465,12.181347,-17.857678
225.31563,12.184837,-17.875654
225.31653,12.188078,-17.892365
225.31743,12.187056,-17.891964
225.31833,12.183633,-17.881913
225.31923,12.18021,-17.871841
225.32014,12.176789,-17.86173
225.32104,12.173366,-17.851596
225.32195,12.169945,-17.841422
225.32285,12.166522,-17.831231
225.32375,12.1631,-17.821012
225.32472,12.159415,-17.809985
225.32562,12.155992,-17.799706
225.32652,12.152571,-17.789403
225.32742,12.149149,-17.779071
225.32834,12.145729,-17.768681
225.32924,12.142307,-17.758298
225.33014,12.138887,-17.7479
225.33104,12.135466,-17.737455
225.33194,12.132045,-17.726981
225.33292,12.128362,-17.715668
225.33382,12.126897,-17.701172
225.33618,12.133376,-17.642448
225.33708,12.135853,-17.620039
225.33798,12.138329,-17.597623
225.33888,12.140806,-17.575243
225.3398,12.143283,-17.552841
225.3407,12.145758,-17.530477
225.3416,12.148234,-17.508151
225.3425,12.150709,-17.485817
225.34348,12.153374,-17.461779
225.34438,12.155849,-17.439487
225.34528,12.158323,-17.417219
225.34618,12.160797,-17.394962
225.34708,12.16327,-17.372717
225.34799,12.165745,-17.350481
225.34889,12.168218,-17.328274
225.3498,12.170691,-17.306063
225.3507,12.170291,-17.297618
225.35167,12.167452,-17.30002
225.35257,12.164815,-17.30223
225.35347,12.162178,-17.304441
225.35437,12.15954,-17.306637
225.35527,12.156902,-17.308808
225.35619,12.154266,-17.310962
225.35709,12.151628,-17.313131
225.35799,12.14899,-17.315296
225.35889,12.146352,-17.317446
225.35979,12.143713,-17.319589
225.36076,12.140872,-17.321886
225.36166,12.138234,-17.324014
225.36256,12.135595,-17.326119
225.36348,12.132958,-17.328203
225.36438,12.130319,-17.330294
225.36528,12.127679,-17.332385
225.36618,12.12504,-17.334468
225.36708,12.123487,-17.338494
225.36798,12.125115,-17.348248
225.36896,12.126871,-17.358718
225.36986,12.128502,-17.368444
225.37076,12.130133,-17.378131
225.37167,12.131764,-17.387785
225.37257,12.133397,-17.397442
225.37347,12.135029,-17.40706
225.37437,12.136663,-17.41666
225.37527,12.138297,-17.426242
225.37617,12.139932,-17.435806
225.37709,12.141569,-17.445318
225.37805,12.143331,-17.455583
225.37895,12.144966,-17.465054
225.37987,12.146606,-17.474491
225.38077,12.148244,-17.483944
225.38167,12.149883,-17.493366
225.38257,12.151522,-17.502769
225.38347,12.153162,-17.512133
225.38437,12.155219,-17.52437
225.38528,12.157299,-17.536688
225.38625,12.159542,-17.549951
225.38715,12.161625,-17.562211
225.38806,12.163709,-17.574418
225.38896,12.165794,-17.586611
225.38986,12.167881,-17.598774
225.39076,12.169968,-17.610881
225.39166,12.172055,-17.622962
225.39256,12.174144,-17.635003
225.39348,12.176237,-17.647001
225.39438,12.178328,-17.658958
225.39534,12.180581,-17.671828
225.39626,12.182676,-17.683688
225.39716,12.18477,-17.695541
225.39806,12.186865,-17.707359
225.39896,12.188963,-17.719142
225.39986,12.191061,-17.730887
225.40076,12.189617,-17.733309
225.40167,12.186176,-17.730474
225.40257,12.182736,-17.727624
225.40355,12.179031,-17.724508
225.40445,12.17559,-17.721608
225.40535,12.172149,-17.718675
225.40625,12.168708,-17.715712
225.40715,12.165266,-17.712734
225.40805,12.161825,-17.709722
225.40895,12.158384,-17.706683
225.40987,12.154944,-17.703598
225.41077,12.151502,-17.700513
225.41167,12.14806,-17.697399
225.41264,12.144353,-17.693999
225.41354,12.140911,-17.690824
225.41444,12.137468,-17.687631
225.41534,12.134027,-17.684414
225.41624,12.130584,-17.681155
225.41716,12.121431,-17.658332
225.41806,12.100947,-17.593515
225.41896,12.08073,-17.524709
225.41986,12.060785,-17.451931
225.42084,12.039616,-17.369123
225.42174,12.020252,-17.288161
225.42264,12.001177,-17.203309
225.42354,11.982393,-17.114595
225.42444,11.963906,-17.022027
225.42535,11.945721,-16.925644
225.42625,11.927838,-16.825464
225.42715,11.910267,-16.721548
225.42805,11.893009,-16.613926
225.42896,11.876069,-16.502596
225.42993,11.858183,-16.378649
225.43083,11.841913,-16.259817
225.43173,11.825969,-16.137409
225.43263,11.810357,-16.011473
225.43355,11.795054,-15.883143
225.43445,11.779013,-15.796228
225.43535,11.763284,-15.706763
225.43625,11.747872,-15.614776
225.43715,11.732779,-15.520268
225.43813,11.71689,-15.41573
225.43903,11.702474,-15.316102
225.43993,11.688392,-15.214078
225.44083,11.674644,-15.109655
225.44174,11.661237,-15.002869
225.44264,11.64817,-14.893762
225.44354,11.63545,-14.782375
225.44444,11.623078,-14.668747
225.44534,11.611057,-14.552899
225.44624,11.599389,-14.434856
225.44722,11.587225,-14.305357
225.44812,11.5763,-14.182899
225.44902,11.565737,-14.058401
225.44994,11.55554,-13.931869
225.45084,11.539128,-13.777901
225.45174,11.520475,-13.61013
225.45264,11.502191,-13.4384
225.45354,11.484277,-13.262749
225.45444,11.466741,-13.083262
225.45541,11.448282,-12.885741
225.45631,11.431541,-12.698436
225.45723,11.415192,-12.507472
225.45813,11.399233,-12.312909
225.45903,11.383673,-12.114842
225.45993,11.368512,-11.913285
225.46083,11.353755,-11.708336
225.46173,11.339404,-11.500037
225.46265,11.325465,-11.28848
225.46355,11.311935,-11.073714
225.46451,11.297829,-10.838963
225.46542,11.285164,-10.617759
225.46632,11.272919,-10.393607
225.46722,11.260462,-10.169774
225.46812,11.247494,-9.9480373
225.46902,11.234921,-9.7238198
225.46992,11.222747,-9.4972024
225.47084,11.210976,-9.2682211
225.47174,11.19961,-9.0369887
225.4727,11.187824,-8.7855229
225.47362,11.177307,-8.549763
225.47452,11.167201,-8.3119426
225.47542,11.15751,-8.0721406
225.47632,11.148235,-7.8304021
225.47722,11.139377,-7.5867992
225.47812,11.130938,-7.3413714
225.47903,11.12292,-7.0942131
225.47993,11.115325,-6.8453914
225.4809,11.107621,-6.5756686
225.48181,11.100906,-6.3235969
225.48271,11.094617,-6.0700774
225.48361,11.088703,-5.8155489
225.48451,11.082667,-5.5632496
225.48541,11.076897,-5.3099562
225.48631,11.071395,-5.0557114
225.48723,11.066162,-4.8005266
225.48813,11.061195,-4.5444795
225.48903,11.056498,-4.2876009
225.49,11.051739,-4.0100516
225.4909,11.0476,-3.7515366
225.4918,11.043729,-3.492296
225.4927,11.040129,-3.2323633
225.4936,11.036797,-2.9717688
225.4945,11.033737,-2.7105649
225.49542,11.030947,-2.4487505
225.49632,11.028427,-2.1864121
225.49722,11.026177,-1.9235652
225.4982,11.024057,-1.6399658
225.4991,11.022368,-1.3761684
225.5,11.020951,-1.1119815
225.5009,11.040581,-0.7445967
225.5018,11.065831,-0.35227091
225.5027,11.091282,0.037857984
225.50362,11.11693,0.42575778
225.50452,11.142772,0.81132767
225.50542,11.16881,1.1944968
225.50632,11.195041,1.575188
225.5073,11.223505,1.9823382
225.5082,11.250134,2.3576424
225.5091,11.276954,2.7302326
225.51,11.303964,3.1000107
225.51091,11.331164,3.4668919
225.51181,11.358552,3.8307893
225.51271,11.386129,4.1915905
225.51361,11.413894,4.5492018
225.51451,11.441845,4.9035412
225.51549,11.472158,5.2813514
225.51639,11.500499,5.6285246
225.51729,11.517808,5.9047189
225.51819,11.523685,6.1064108
225.5191,11.530103,6.3051553
225.52,11.537061,6.500833
225.5209,11.544559,6.6933729
225.5218,11.552597,6.8826926
225.5227,11.561175,7.0687015
225.5236,11.570288,7.2513301
225.52458,11.580704,7.4441447
225.52548,11.590929,7.6195001
225.52638,11.601685,7.7912557
225.5273,11.612971,7.959349
225.5282,11.624783,8.1236701
225.5291,11.637117,8.284195
225.53,11.649971,8.4408643
225.5309,11.66334,8.5936047
225.5318,11.677222,8.7423829
225.53278,11.69274,8.8981119
225.53368,11.703094,9.0420077
225.53458,11.692819,9.2010798
225.53549,11.68309,9.3611452
225.53639,11.673912,9.5221042
225.5373,11.665287,9.6839208
225.5382,11.657219,9.8465033
225.5391,11.649711,10.009801
225.54,11.642764,10.173758
225.54091,11.636383,10.338292
225.54187,11.630144,10.516058
225.54277,11.624942,10.68158
225.54369,11.62031,10.847518
225.54459,11.616248,11.013739
225.54549,11.612759,11.180208
225.54639,11.609843,11.346838
225.54729,11.607499,11.513586
225.54819,11.605728,11.680375
225.5491,11.60453,11.84714
225.55006,11.603879,12.026614
225.55098,11.599062,12.247875
225.55188,11.594196,12.476839
225.55278,11.590006,12.705277
225.55368,11.586496,12.933071
225.55458,11.583665,13.160151
225.55548,11.581517,13.38639
225.5564,11.580051,13.611735
225.5573,11.579269,13.836049
225.5582,11.579171,14.05925
225.55917,11.57983,14.298282
225.56007,11.58115,14.518896
225.56097,11.583153,14.738115
225.56187,11.585835,14.955873
225.56277,11.589196,15.172056
225.56367,11.593233,15.386597
225.56459,11.597943,15.59942
225.56549,11.603323,15.810417
225.56639,11.60937,16.019523
