# GET [h], RA [h], DEC [deg]
224.94972,0.17031219,17.676696
224.95062,0.17075724,17.660314
224.95152,0.1701029,17.635644
224.95242,0.16944677,17.610962
224.9534,0.16874136,17.584359
224.9543,0.16808528,17.55967
224.95522,0.16743037,17.534932
224.95612,0.16677466,17.51025
224.95702,0.16611765,17.485555
224.95792,0.16546058,17.460853
224.95882,0.16480321,17.436147
224.95972,0.16414539,17.411439
224.96063,0.16348984,17.386724
224.96431,0.16080735,17.28593
224.96521,0.16014866,17.261205
224.96611,0.1594896,17.236473
224.96701,0.15879516,17.212012
224.96791,0.15793357,17.188757
224.96883,0.15707534,17.165479
224.96973,0.15621342,17.142221
224.97069,0.1552839,17.117194
224.9716,0.15442343,17.093929
224.9725,0.15356138,17.070673
224.9734,0.15269889,17.047422
224.9743,0.1518371,17.024178
224.9752,0.15097378,17.000923
224.9761,0.15011011,16.97767
224.97702,0.14924976,16.954383
224.97792,0.14838621,16.931132
224.97888,0.14745486,16.906105
224.9798,0.14659365,16.882822
224.9807,0.14572902,16.859567
224.9816,0.14486578,16.836331
224.9825,0.14400051,16.813067
224.9834,0.1431356,16.789817
224.9843,0.14461649,16.773673
224.98521,0.14644812,16.758552
224.98611,0.1482786,16.743429
224.98701,0.15010915,16.728295
224.98799,0.15208008,16.711952
224.98889,0.1539099,16.696784
224.98979,0.1557385,16.681593
224.99069,0.15756705,16.666387
224.9916,0.15939683,16.651149
224.9925,0.16122493,16.635908
224.99341,0.16305427,16.620641
224.99431,0.16487944,16.605346
224.99521,0.16670703,16.590057
224.99619,0.1686763,16.573567
224.99709,0.17050142,16.55823
224.99799,0.17232755,16.542883
224.99889,0.17415365,16.527526
224.99979,0.17597927,16.512153
225.0007,0.17530229,16.51946
225.0016,0.1726772,16.544449
225.0025,0.17005051,16.569421
225.0034,0.16742325,16.594399
225.0043,0.16479495,16.619372
225.00528,0.1619632,16.646212
225.00618,0.15933264,16.671162
225.00708,0.1567007,16.696106
225.00798,0.15406867,16.721043
225.0089,0.15143725,16.745935
225.0098,0.14880211,16.770849
225.0107,0.14616514,16.795751
225.0116,0.14352844,16.820653
225.0125,0.14089037,16.845548
225.01347,0.13804942,16.872358
225.01437,0.13540974,16.89725
225.01527,0.13276752,16.92211
225.01617,0.13012627,16.946978
225.01709,0.12872223,16.971274
225.01799,0.13093491,16.994072
225.01889,0.13314758,17.01684
225.01979,0.13536045,17.039597
225.02069,0.13757326,17.062334
225.02159,0.13978804,17.085064
225.02257,0.14217278,17.109483
225.02347,0.14438691,17.13217
225.02437,0.14660208,17.154845
225.02528,0.14881742,17.17747
225.02618,0.15103268,17.200097
225.02708,0.15324744,17.222706
225.02798,0.15546443,17.245313
225.02888,0.15768004,17.267883
225.02979,0.1598967,17.290417
225.03076,0.16228353,17.314686
225.03166,0.16450098,17.337216
225.03256,0.16671856,17.359714
225.03348,0.16893739,17.382153
225.03438,0.1691809,17.402239
225.03528,0.1693142,17.422194
225.03618,0.16944741,17.442152
225.03708,0.16957869,17.462093
225.03798,0.16971108,17.482057
225.0389,0.16984302,17.501968
225.03986,0.16998455,17.523497
225.04077,0.17011529,17.543428
225.04167,0.17024584,17.563401
225.04257,0.17037564,17.583369
225.04347,0.17050497,17.603332
225.04437,0.17063413,17.623315
225.04527,0.17076328,17.64329
225.04617,0.17089028,17.663257
225.04709,0.1710208,17.683206
225.04805,0.17115663,17.704736
225.04897,0.17128594,17.72468
225.04987,0.17141283,17.744667
225.05077,0.17006682,17.74564
225.05167,0.1678915,17.735899
225.05257,0.16571749,17.726151
225.05347,0.16354299,17.716373
225.05438,0.16136836,17.706554
225.05528,0.15919544,17.696761
225.05618,0.15702032,17.68692
225.05716,0.15467899,17.676285
225.05806,0.15250519,17.666427
225.05896,0.15033076,17.656538
225.05986,0.14815654,17.646633
225.06076,0.14598192,17.636702
225.06166,0.14380928,17.626784
225.06258,0.14163674,17.616775
225.06348,0.13946275,17.606804
225.06438,0.13728863,17.596808
225.06535,0.13494803,17.586025
225.06625,0.13277467,17.575991
225.06715,0.13152745,17.561706
225.06805,0.13214339,17.53885
225.06895,0.13275874,17.516006
225.06985,0.13337414,17.493163
225.07077,0.13399102,17.470284
225.07167,0.13460593,17.44745
225.07257,0.13522048,17.424618
225.07347,0.13583498,17.401792
225.07445,0.13649675,17.377198
225.07535,0.13711125,17.354384
225.07625,0.13772428,17.331569
225.07715,0.1383381,17.308769
225.07805,0.13895084,17.285959
225.07896,0.1395654,17.263156
225.07986,0.1401778,17.240369
225.08076,0.14079039,17.217577
225.08167,0.14140322,17.19478
225.08264,0.14206394,17.170259
225.08354,0.14268387,17.14781
225.08444,0.14368305,17.138714
225.08534,0.14468244,17.129608
225.08624,0.14568047,17.120484
225.08716,0.14668026,17.111316
225.08806,0.14767864,17.102181
225.08896,0.14867828,17.093048
225.08986,0.14967675,17.08389
225.09076,0.15067515,17.074727
225.09174,0.15175077,17.064827
225.09264,0.15275022,17.055657
225.09354,0.1537485,17.046467
225.09445,0.15474768,17.037255
225.09535,0.15574597,17.028037
225.09625,0.15674505,17.018831
225.09715,0.15774425,17.009617
225.09805,0.15874188,17.000381
225.09895,0.15974137,16.991156
225.09993,0.16081701,16.981168
225.10083,0.16182336,16.979656
225.10173,0.1628337,16.981215
225.10265,0.16384556,16.982724
225.10355,0.1648556,16.984259
225.10445,0.16586582,16.98579
225.10535,0.1668764,16.987305
225.10625,0.16788922,16.988842
225.10715,0.16890014,16.990337
225.10806,0.16991241,16.991821
225.10902,0.17100102,16.99344
225.10992,0.17201257,16.994917
225.11084,0.1730264,16.996355
225.11174,0.17403814,16.997812
225.11264,0.17505073,16.999271
225.11354,0.17606315,17.000709
225.11444,0.17707594,17.002152
225.11534,0.17808868,17.003578
225.11626,0.17910398,17.004973
225.11722,0.17924519,17.00703
225.11812,0.17793566,17.009715
225.11903,0.1766263,17.012383
225.11993,0.175317,17.01508
225.12083,0.17400824,17.017779
225.12173,0.17269876,17.020469
225.12263,0.171391,17.023176
225.12354,0.17008339,17.025865
225.12445,0.16877627,17.028561
225.12535,0.16746896,17.03128
225.12631,0.16606061,17.034228
225.12723,0.16475551,17.036917
225.12813,0.1634486,17.03964
225.12903,0.16214232,17.042369
225.12993,0.16083631,17.045107
225.13083,0.15953003,17.047838
225.13173,0.15822638,17.050597
225.13264,0.15692193,17.053324
225.13354,0.1556272,17.055929
225.13452,0.15466977,17.052479
225.13542,0.15378011,17.0493
225.13632,0.15289029,17.046113
225.13722,0.15200083,17.04293
225.13812,0.1511121,17.039765
225.13902,0.15022287,17.036584
225.13992,0.14933315,17.033414
225.14084,0.1484454,17.030198
225.14174,0.14755533,17.027012
225.14264,0.14666741,17.023862
225.14362,0.14570981,17.02042
225.14452,0.14482157,17.017253
225.14542,0.14393175,17.014083
225.14632,0.14304222,17.010908
225.14722,0.1421544,17.00775
225.14813,0.14126576,17.004573
225.14903,0.14037642,17.001399
225.14993,0.13948717,16.998229
225.15083,0.14065215,16.988775
225.15181,0.14278267,16.975883
225.15271,0.14476015,16.963938
225.15361,0.14673767,16.952001
225.15451,0.14871441,16.940067
225.15541,0.1506912,16.928139
225.15633,0.15266771,16.91617
225.15723,0.15464462,16.904261
225.15813,0.15661943,16.892338
225.15903,0.15859519,16.880432
225.15993,0.16057039,16.868534
225.1609,0.1626969,16.855723
225.1618,0.16467189,16.843829
225.1627,0.1666461,16.831953
225.1636,0.16862003,16.820072
225.16452,0.17059423,16.808151
225.16542,0.17256758,16.796282
225.16632,0.1745409,16.784421
225.16722,0.17518953,16.774452
225.16812,0.17392292,16.767215
225.1691,0.17255956,16.7594
225.17,0.17129305,16.752161
225.1709,0.17002572,16.744909
225.1718,0.16875977,16.73767
225.17271,0.16749251,16.730395
225.17361,0.16622572,16.72314
225.17451,0.16495883,16.715884
225.17542,0.16369211,16.708603
225.17632,0.16242455,16.701334
225.17729,0.16105977,16.693504
225.17819,0.1597917,16.686234
225.1791,0.1585261,16.678955
225.18,0.15725921,16.671691
225.18091,0.15599213,16.664387
225.18181,0.15472385,16.657095
225.18271,0.15345575,16.649809
225.18361,0.15223569,16.646241
225.18451,0.15142554,16.675604
225.18541,0.15061371,16.704965
225.18639,0.14974017,16.73659
225.18729,0.14892604,16.765978
225.1882,0.14811086,16.795344
225.1891,0.14729319,16.82473
225.19,0.14647433,16.854129
225.1909,0.14565419,16.883534
225.1918,0.14483266,16.912942
225.1927,0.14401079,16.942369
225.1936,0.14318622,16.971786
225.19458,0.14229791,17.003464
225.19548,0.14147002,17.032891
225.1964,0.14064319,17.062296
225.1973,0.13981276,17.09173
225.1982,0.13898171,17.121181
225.1991,0.13814773,17.150625
225.2,0.13731284,17.180076
225.2009,0.13705131,17.207468
225.20181,0.13693884,17.234283
225.20271,0.13682577,17.261115
225.20367,0.13670251,17.289999
225.20459,0.13659172,17.316799
225.20549,0.13647831,17.343607
