# GET [h], theta [deg], phi [deg]
224.94063,6.5426102,-151.90391
224.94153,6.5500333,-151.6255
224.94243,6.5576104,-151.34768
224.94333,6.5653541,-151.07071
224.94423,6.5732619,-150.79478
224.9452,6.5819466,-150.49827
224.9461,6.5901813,-150.22391
224.94702,6.598459,-149.94736
224.94792,6.6070093,-149.67479
224.94882,6.6157158,-149.40306
224.94972,6.6245821,-149.13245
224.95062,6.6352906,-149.00635
224.95152,6.647843,-149.03261
224.95242,6.6604041,-149.05921
224.9534,6.6738855,-149.0863
224.9543,6.6864697,-149.11317
224.95522,6.6989619,-149.13716
224.95612,6.7115567,-149.16421
224.95702,6.7241653,-149.19153
224.95792,6.7367868,-149.21899
224.95882,6.7494181,-149.2466
224.95972,6.7620565,-149.27438
224.96063,6.7746461,-149.30057
224.96431,6.8262562,-149.41401
224.96521,6.8389527,-149.44256
224.96611,6.8516617,-149.47127
224.96701,6.8639397,-149.50075
224.96791,6.8742226,-149.53392
224.96883,6.8844026,-149.56402
224.96973,6.8947045,-149.59735
224.97069,6.9058539,-149.63468
224.9716,6.9161152,-149.66659
224.9725,6.926444,-149.70009
224.9734,6.9367757,-149.73367
224.9743,6.947114,-149.76721
224.9752,6.9574647,-149.80099
224.9761,6.9678204,-149.83485
224.97702,6.9780842,-149.86573
224.97792,6.9884583,-149.89967
224.97888,6.9996924,-149.93766
224.9798,7.0099773,-149.96879
224.9807,7.0203796,-150.00299
224.9816,7.0307815,-150.03705
224.9825,7.0412082,-150.07143
224.9834,7.0516331,-150.10578
224.9843,7.0675613,-149.86001
224.98521,7.0844317,-149.57247
224.98611,7.1015404,-149.2878
224.98701,7.1188252,-149.00459
224.98799,7.1375858,-148.69991
224.98889,7.1552396,-148.41984
224.98979,7.1730689,-148.1414
224.99069,7.1910717,-147.86444
224.9916,7.2092011,-147.58754
224.9925,7.2275497,-147.31359
224.99341,7.2460191,-147.03972
224.99431,7.2647109,-146.7691
224.99521,7.2835635,-146.49966
224.99619,7.3039973,-146.20968
224.99709,7.3231927,-145.94362
224.99799,7.3425514,-145.67893
224.99889,7.3620661,-145.41573
224.99979,7.3817383,-145.15406
225.0007,7.3654369,-145.07419
225.0016,7.3211442,-145.13796
225.0025,7.2768693,-145.20277
225.0034,7.2325991,-145.26851
225.0043,7.1883409,-145.33525
225.00528,7.1406686,-145.40699
225.00618,7.0964445,-145.47591
225.00708,7.0522328,-145.54595
225.00798,7.0080405,-145.61696
225.0089,6.9637838,-145.6863
225.0098,6.9196227,-145.75968
225.0107,6.8754761,-145.83429
225.0116,6.8313471,-145.90992
225.0125,6.7872314,-145.98678
225.01347,6.7397355,-146.07064
225.01437,6.6956461,-146.14994
225.01527,6.6515877,-146.23074
225.01617,6.6075443,-146.31258
225.01709,6.5713064,-146.25295
225.01799,6.5584441,-145.78645
225.01889,6.5460341,-145.31842
225.01979,6.5340622,-144.84888
225.02069,6.5225374,-144.37791
225.02159,6.5114629,-143.90533
225.02257,6.500011,-143.39351
225.02347,6.4898713,-142.91834
225.02437,6.4801843,-142.44183
225.02528,6.4709298,-141.96283
225.02618,6.4621615,-141.48416
225.02708,6.4538447,-141.00453
225.02798,6.4459858,-140.52367
225.02888,6.4385896,-140.04214
225.02979,6.4316318,-139.5583
225.03076,6.4246745,-139.03783
225.03166,6.4186898,-138.55377
225.03256,6.4131782,-138.06914
225.03348,6.4080965,-137.58106
225.03438,6.3899215,-137.32541
225.03528,6.3711169,-137.08135
225.03618,6.3524309,-136.83598
225.03708,6.3338668,-136.5896
225.03798,6.3154157,-136.34172
225.0389,6.2970647,-136.0898
225.03986,6.2774668,-135.82136
225.04077,6.2593843,-135.56828
225.04167,6.2414242,-135.31525
225.04257,6.22359,-135.06101
225.04347,6.205884,-134.80553
225.04437,6.1882892,-134.54869
225.04527,6.1708305,-134.29057
225.04617,6.1534912,-134.03141
225.04709,6.1362776,-133.76759
225.04805,6.1178881,-133.48701
225.04897,6.1009476,-133.22063
225.04987,6.0841342,-132.95606
225.05077,6.0695532,-132.96649
225.05167,6.0562133,-133.13302
225.05257,6.0429271,-133.30028
225.05347,6.0296983,-133.46858
225.05438,6.0165131,-133.63638
225.05528,6.0033844,-133.80626
225.05618,5.9903137,-133.97745
225.05716,5.9762919,-134.16115
225.05806,5.963327,-134.33406
225.05896,5.9504216,-134.50802
225.05986,5.937571,-134.68291
225.06076,5.9247789,-134.85882
225.06166,5.9120349,-135.03532
225.06258,5.8993506,-135.20999
225.06348,5.8867212,-135.38862
225.06438,5.8741541,-135.56826
225.06535,5.8606871,-135.76257
225.06625,5.8482471,-135.94412
225.06715,5.8469488,-136.04229
225.06805,5.8680161,-135.97183
225.06895,5.8890844,-135.90211
225.06985,5.9101674,-135.83308
225.07077,5.9312498,-135.76173
225.07167,5.952352,-135.69415
225.07257,5.9734652,-135.62731
225.07347,5.9945871,-135.56112
225.07445,6.0173301,-135.48904
225.07535,6.0384724,-135.42422
225.07625,6.059618,-135.36023
225.07715,6.0807718,-135.29674
225.07805,6.1019383,-135.23407
225.07896,6.123101,-135.17035
225.07986,6.1442736,-135.1089
225.08076,6.1654648,-135.04808
225.08167,6.1866489,-134.98644
225.08264,6.2094863,-134.92199
225.08354,6.2305047,-134.85989
225.08444,6.2440633,-134.66284
225.08534,6.2576991,-134.46675
225.08624,6.2714039,-134.27181
225.08716,6.2851779,-134.07502
225.08806,6.299027,-133.88198
225.08896,6.3129498,-133.68974
225.08986,6.3269476,-133.49868
225.09076,6.3410111,-133.30856
225.09174,6.3562342,-133.10346
225.09264,6.3704437,-132.91521
225.09354,6.3847204,-132.72808
225.09445,6.3990647,-132.54049
225.09535,6.4134854,-132.35533
225.09625,6.4279649,-132.17095
225.09715,6.4425106,-131.98749
225.09805,6.4571187,-131.80521
225.09895,6.4717935,-131.62359
225.09993,6.4876784,-131.42786
225.10083,6.4966131,-131.2055
225.10173,6.5033228,-130.96673
225.10265,6.5101597,-130.72594
225.10355,6.5170936,-130.48855
225.10445,6.5241352,-130.25178
225.10535,6.5312947,-130.0157
225.10625,6.5385603,-129.77992
225.10715,6.5459404,-129.54519
225.10806,6.5534317,-129.30968
225.10902,6.5616034,-129.0595
225.10992,6.5693114,-128.82679
225.11084,6.577151,-128.59207
225.11174,6.5850744,-128.3608
225.11264,6.5931017,-128.13008
225.11354,6.6012408,-127.90018
225.11444,6.6094765,-127.6709
225.11534,6.6178199,-127.44238
225.11626,6.6262958,-127.21186
225.11722,6.6256969,-127.04946
225.11812,6.6103116,-127.02073
225.11903,6.5949354,-126.99081
225.11993,6.5795431,-126.96208
225.12083,6.5641544,-126.93332
225.12173,6.5487648,-126.90471
225.12263,6.5333799,-126.87591
225.12354,6.5180049,-126.8459
225.12445,6.5026285,-126.81584
225.12535,6.4872391,-126.78704
225.12631,6.4706499,-126.75723
225.12723,6.4552937,-126.72581
225.12813,6.4399038,-126.69706
225.12903,6.4245162,-126.66828
225.12993,6.4091237,-126.63945
225.13083,6.3937338,-126.61071
225.13173,6.3783491,-126.58162
225.13264,6.3629752,-126.55149
225.13354,6.34779,-126.52278
225.13452,6.3402839,-126.49718
225.13542,6.3332943,-126.47477
225.13632,6.3263085,-126.45251
225.13722,6.3193235,-126.43029
225.13812,6.312332,-126.40799
225.13902,6.3053476,-126.38592
225.13992,6.2983494,-126.36393
225.14084,6.2913966,-126.33944
225.14174,6.2844054,-126.31775
225.14264,6.2774109,-126.29576
225.14362,6.2698948,-126.27115
225.14452,6.262908,-126.24948
225.14542,6.2559077,-126.22807
225.14632,6.2489132,-126.20675
225.14722,6.2419231,-126.18527
225.14813,6.2349346,-126.16273
225.14903,6.2279405,-126.14167
225.14993,6.2209434,-126.12068
225.15083,6.2391286,-125.95559
225.15181,6.2695644,-125.71716
225.15271,6.2979027,-125.49922
225.15361,6.3263311,-125.28333
225.15451,6.3548436,-125.06957
225.15541,6.383445,-124.85781
225.15633,6.4121645,-124.64576
225.15723,6.440937,-124.43795
225.15813,6.4697854,-124.23239
225.15903,6.49872,-124.02862
225.15993,6.5277288,-123.82678
225.1609,6.5590566,-123.61153
225.1618,6.5882359,-123.41366
225.1627,6.6174771,-123.21765
225.1636,6.6468002,-123.02356
225.16452,6.6762436,-122.82904
225.16542,6.7057124,-122.63859
225.16632,6.7352531,-122.44989
225.16722,6.7493999,-122.35738
225.16812,6.7412035,-122.40202
225.1691,6.7324044,-122.44908
225.17,6.7242102,-122.49417
225.1709,6.7160161,-122.53961
225.1718,6.7078274,-122.58507
225.17271,6.6996553,-122.62986
225.17361,6.6914692,-122.67592
225.17451,6.6832831,-122.72223
225.17542,6.6751216,-122.76767
225.17632,6.6669373,-122.81453
225.17729,6.6581287,-122.86514
225.17819,6.6499409,-122.91252
225.1791,6.6417909,-122.95874
225.18,6.6336126,-123.00644
225.18091,6.6254643,-123.05338
225.18181,6.6172908,-123.10178
225.18271,6.6091166,-123.15037
225.18361,6.5989493,-123.17256
225.18451,6.5710192,-122.95924
225.18541,6.5431811,-122.74422
225.18639,6.5133349,-122.50913
225.18729,6.4856837,-122.29021
225.1882,6.4581558,-122.06835
225.1891,6.4306944,-121.84588
225.19,6.4033263,-121.62148
225.1909,6.3760565,-121.39518
225.1918,6.3488861,-121.16698
225.1927,6.321819,-120.9367
225.1936,6.294848,-120.70468
225.19458,6.2659481,-120.45121
225.19548,6.2391885,-120.21514
225.1964,6.2126029,-119.97451
225.1973,6.1860605,-119.73444
225.1982,6.1596279,-119.49218
225.1991,6.1332937,-119.24809
225.2,6.1070753,-119.00186
225.2009,6.0887589,-118.70228
225.20181,6.0726732,-118.38678
225.20271,6.0567279,-118.07099
225.20367,6.0397255,-117.73064
225.20459,6.0242263,-117.40922
225.20549,6.0088334,-117.08905
225.20639,5.9936154,-116.76752
225.20729,5.9785947,-116.44437
225.20819,5.9637502,-116.12
225.20909,5.9490807,-115.7942
225.21,5.9346517,-115.46555
225.2109,5.9203528,-115.137
225.21187,5.9051851,-114.78154
225.21278,5.8913206,-114.44892
225.21368,5.8776122,-114.11613
