# GET [h], theta [deg], phi [deg]
224.96431,96.158316,127.80131
224.96521,96.178353,127.79169
224.96611,96.1984,127.78206
224.96701,96.218761,127.77489
224.96791,96.240638,127.77915
224.96883,96.262482,127.78343
224.96973,96.284368,127.78771
224.97069,96.307949,127.79232
224.9716,96.329823,127.79661
224.9725,96.351716,127.80091
224.9734,96.373615,127.80522
224.9743,96.395503,127.80953
224.9752,96.417419,127.81386
224.9761,96.439339,127.8182
224.97702,96.461233,127.82256
224.97792,96.483155,127.82691
224.97888,96.506779,127.83159
224.9798,96.528688,127.83598
224.9807,96.550632,127.84036
224.9816,96.572552,127.84474
224.9825,96.594513,127.84914
224.9834,96.616464,127.85354
224.9843,96.605498,127.86267
224.98521,96.58962,127.8725
224.98611,96.573753,127.88234
224.98701,96.557884,127.89218
224.98799,96.540812,127.90281
224.98889,96.524955,127.91266
224.98979,96.509118,127.92251
224.99069,96.493282,127.93238
224.9916,96.477438,127.94226
224.9925,96.461612,127.95214
224.99341,96.445774,127.96203
224.99431,96.429998,127.97194
224.99521,96.414182,127.98183
224.99619,96.397138,127.99249
224.99709,96.381363,128.00241
224.99799,96.365573,128.01233
224.99889,96.349782,128.02224
224.99979,96.333998,128.03215
225.0007,96.338847,128.03874
225.0016,96.35974,128.04271
225.0025,96.380645,128.04669
225.0034,96.40154,128.05066
225.0043,96.422435,128.05463
225.00528,96.44496,128.05895
225.00618,96.465862,128.06295
225.00708,96.48677,128.06694
225.00798,96.507666,128.07094
225.0089,96.528558,128.07497
225.0098,96.549473,128.07899
225.0107,96.570402,128.08302
225.0116,96.591313,128.08704
225.0125,96.612228,128.09106
225.01347,96.634733,128.0954
225.01437,96.655637,128.09943
225.01527,96.676574,128.10349
225.01617,96.697478,128.10752
225.01709,96.703123,128.11219
225.01799,96.664138,128.11853
225.01889,96.625172,128.12492
225.01979,96.586213,128.1313
225.02069,96.547268,128.13772
225.02159,96.508307,128.14413
225.02257,96.466384,128.15111
225.02347,96.42746,128.15758
225.02437,96.388534,128.16406
225.02528,96.349631,128.1706
225.02618,96.310735,128.17713
225.02708,96.271858,128.18369
225.02798,96.232958,128.19025
225.02888,96.194097,128.19685
225.02979,96.155244,128.20348
225.03076,96.113412,128.21062
225.03166,96.074561,128.21727
225.03256,96.035728,128.22395
225.03348,95.996908,128.23067
225.03438,95.983991,128.23062
225.03528,95.972518,128.23017
225.03618,95.961044,128.22974
225.03708,95.949603,128.22932
225.03798,95.938137,128.22887
225.0389,95.926699,128.22847
225.03986,95.914352,128.22799
225.04077,95.90292,128.22757
225.04167,95.891472,128.22713
225.04257,95.880036,128.2267
225.04347,95.868609,128.22628
225.04437,95.857174,128.22584
225.04527,95.845742,128.2254
225.04617,95.834342,128.22498
225.04709,95.822902,128.22457
225.04805,95.810625,128.2241
225.04897,95.799203,128.22368
225.04987,95.787793,128.22324
225.05077,95.803995,128.21186
225.05167,95.835747,128.19429
225.05257,95.867486,128.1767
225.05347,95.899247,128.15914
225.05438,95.931027,128.1416
225.05528,95.962776,128.12402
225.05618,95.994576,128.10648
225.05716,96.028825,128.08761
225.05806,96.060617,128.07005
225.05896,96.092433,128.05253
225.05986,96.124255,128.03499
225.06076,96.156094,128.01749
225.06166,96.187903,127.99994
225.06258,96.219751,127.98246
225.06348,96.251604,127.96495
225.06438,96.28347,127.94745
225.06535,96.317788,127.92861
225.06625,96.349664,127.91112
225.06715,96.372036,127.89476
225.06805,96.375294,127.88071
225.06895,96.37855,127.86665
225.06985,96.381802,127.85259
225.07077,96.385046,127.83854
225.07167,96.388293,127.82448
225.07257,96.391542,127.8104
225.07347,96.394784,127.79633
225.07445,96.398277,127.78118
225.07535,96.401507,127.76709
225.07625,96.404753,127.753
225.07715,96.407979,127.7389
225.07805,96.411221,127.72481
225.07896,96.414431,127.71071
225.07986,96.417659,127.6966
225.08076,96.420884,127.68249
225.08167,96.424104,127.66839
225.08264,96.427547,127.65318
225.08354,96.430504,127.63965
225.08444,96.422231,127.6501
225.08534,96.413958,127.66056
225.08624,96.405709,127.67104
225.08716,96.397454,127.68152
225.08806,96.389201,127.69199
225.08896,96.38093,127.70246
225.08986,96.372684,127.71293
225.09076,96.364439,127.72342
225.09174,96.355566,127.73473
225.09264,96.347306,127.74519
225.09354,96.33907,127.75568
225.09445,96.330829,127.76619
225.09535,96.322601,127.77669
225.09625,96.314356,127.78718
225.09715,96.306111,127.79767
225.09805,96.297895,127.80817
225.09895,96.289647,127.81867
225.09993,96.280797,127.83
225.10083,96.268733,127.83982
225.10173,96.255135,127.84934
225.10265,96.241539,127.8589
225.10355,96.227956,127.86844
225.10445,96.214372,127.87798
225.10535,96.200792,127.88753
225.10625,96.187172,127.89706
225.10715,96.173596,127.90661
225.10806,96.160007,127.91617
225.10902,96.145384,127.92645
225.10992,96.131809,127.93602
225.11084,96.118219,127.9456
225.11174,96.10465,127.95516
225.11264,96.091069,127.96474
225.11354,96.0775,127.97431
225.11444,96.063924,127.98389
225.11534,96.050356,127.99347
225.11626,96.036768,128.00307
225.11722,96.03384,128.01464
225.11812,96.048854,128.02734
225.11903,96.063872,128.04003
225.11993,96.078874,128.05273
225.12083,96.093867,128.06543
225.12173,96.108872,128.07815
225.12263,96.123846,128.09086
225.12354,96.138824,128.10359
225.12445,96.15379,128.11632
225.12535,96.168748,128.12906
225.12631,96.184852,128.14275
225.12723,96.19979,128.15552
225.12813,96.214736,128.16827
225.12903,96.22967,128.18102
225.12993,96.244595,128.19377
225.13083,96.259524,128.20655
225.13173,96.274405,128.2193
225.13264,96.289309,128.23208
225.13354,96.30415,128.24466
225.13452,96.317673,128.24936
225.13542,96.330227,128.25371
225.13632,96.342787,128.25808
225.13722,96.355341,128.26244
225.13812,96.367877,128.2668
225.13902,96.380427,128.27117
225.13992,96.392978,128.27553
225.14084,96.405523,128.27992
225.14174,96.418086,128.2843
225.14264,96.430605,128.28866
225.14362,96.444126,128.29339
225.14452,96.456657,128.29777
225.14542,96.46921,128.30215
225.14632,96.481761,128.30655
225.14722,96.494282,128.31093
225.14813,96.506822,128.31533
225.14903,96.51937,128.31973
225.14993,96.531916,128.32412
225.15083,96.521737,128.31881
225.15181,96.501093,128.30895
225.15271,96.481917,128.29979
225.15361,96.46273,128.29063
225.15451,96.443546,128.28147
225.15541,96.424352,128.27233
