# GET [h], theta [deg], phi [deg]
224.96431,121.7475,132.64061
224.96521,121.76911,132.62327
224.96611,121.79074,132.60593
224.96701,121.81263,132.5913
224.96791,121.83584,132.58931
224.96883,121.85903,132.58731
224.96973,121.88225,132.58533
224.97069,121.90726,132.58321
224.9716,121.93047,132.58123
224.9725,121.95369,132.57926
224.9734,121.97692,132.57731
224.9743,122.00013,132.57536
224.9752,122.02337,132.57342
224.9761,122.04661,132.57149
224.97702,122.06983,132.56956
224.97792,122.09307,132.56764
224.97888,122.11811,132.56558
224.9798,122.14134,132.56367
224.9807,122.1646,132.56178
224.9816,122.18783,132.55988
224.9825,122.2111,132.55801
224.9834,122.23436,132.55614
224.9843,122.22563,132.55211
224.98521,122.21213,132.54775
224.98611,122.19863,132.54341
224.98701,122.18513,132.53908
224.98799,122.1706,132.53442
224.98889,122.15709,132.53009
224.98979,122.1436,132.52575
224.99069,122.1301,132.52143
224.9916,122.11659,132.51712
224.9925,122.10309,132.51281
224.99341,122.08958,132.5085
224.99431,122.07612,132.50421
224.99521,122.06261,132.49991
224.99619,122.04805,132.49527
224.99709,122.03456,132.491
224.99799,122.02106,132.48671
224.99889,122.00756,132.48243
224.99979,121.99405,132.47814
225.0007,121.99823,132.49057
225.0016,122.01614,132.51599
225.0025,122.03405,132.54144
225.0034,122.05193,132.56689
225.0043,122.0698,132.59236
225.00528,122.08905,132.61981
225.00618,122.10689,132.64532
225.00708,122.12472,132.67083
225.00798,122.14252,132.69636
225.0089,122.16031,132.7219
225.0098,122.1781,132.74746
225.0107,122.19589,132.77305
225.0116,122.21364,132.79864
225.0125,122.23138,132.82424
225.01347,122.25045,132.85182
225.01437,122.26815,132.87746
225.01527,122.28586,132.90312
225.01617,122.30353,132.92876
225.01709,122.30674,132.94957
225.01799,122.26772,132.95608
225.01889,122.22871,132.96264
225.01979,122.18971,132.96919
225.02069,122.15072,132.97577
225.02159,122.11172,132.98234
225.02257,122.06976,132.98948
225.02347,122.0308,132.99611
225.02437,121.99183,133.00274
225.02528,121.9529,133.00941
225.02618,121.91397,133.0161
225.02708,121.87505,133.0228
225.02798,121.83612,133.02951
225.02888,121.79722,133.03624
225.02979,121.75834,133.043
225.03076,121.71647,133.05029
225.03166,121.67759,133.05707
225.03256,121.63872,133.06388
225.03348,121.59988,133.0707
225.03438,121.58586,133.07799
225.03528,121.57323,133.08529
225.03618,121.56059,133.09259
225.03708,121.54799,133.09992
225.03798,121.53535,133.10721
225.0389,121.52275,133.11453
225.03986,121.50913,133.1224
225.04077,121.49653,133.12971
225.04167,121.4839,133.13701
225.04257,121.47128,133.14432
225.04347,121.45867,133.15164
225.04437,121.44605,133.15894
225.04527,121.43342,133.16625
225.04617,121.42083,133.17358
225.04709,121.4082,133.18088
225.04805,121.39463,133.18876
225.04897,121.38202,133.19606
225.04987,121.36941,133.20336
225.05077,121.38486,133.19791
225.05167,121.41612,133.18525
225.05257,121.44737,133.17258
225.05347,121.47864,133.15992
225.05438,121.50993,133.14728
225.05528,121.54119,133.13462
225.05618,121.5725,133.12199
225.05716,121.60623,133.1084
225.05806,121.63753,133.09575
225.05896,121.66885,133.08314
225.05986,121.70018,133.07052
225.06076,121.73153,133.05793
225.06166,121.76285,133.0453
225.06258,121.79421,133.03271
225.06348,121.82557,133.02012
225.06438,121.85695,133.00754
225.06535,121.89074,132.994
225.06625,121.92212,132.98142
225.06715,121.94494,132.96429
225.06805,121.95051,132.938
225.06895,121.95608,132.9117
225.06985,121.96165,132.8854
225.07077,121.9672,132.85909
225.07167,121.97275,132.83278
225.07257,121.97829,132.80646
225.07347,121.98382,132.78015
225.07445,121.98977,132.7518
225.07535,121.99527,132.72547
225.07625,122.00079,132.69914
225.07715,122.00628,132.6728
225.07805,122.01178,132.64646
