# RA, Dec, Time, Ch0, Ch1, Ch2, Ch3, Ch4, Ch5, Ch6, Ch7, Total
170.000000, 30.000000,237.403488, 66.000000, 27.000000, 24.000000, 43.000000, 56.000000, 68.000000, 59.000000,224.000000,470.539900
170.000000, 30.000000,237.405701, 64.000000, 36.000000, 35.000000, 38.000000, 52.000000, 51.000000, 58.000000,208.000000,381.617900
170.000000, 30.000000,237.407898, 81.000000, 20.000000, 42.000000, 53.000000, 38.000000, 43.000000, 43.000000,221.000000,363.801100
170.000000, 30.000000,237.410110, 64.000000, 29.000000, 35.000000, 45.000000, 45.000000, 38.000000, 51.000000,237.000000,412.797900
170.000000, 30.000000,237.412384, 86.000000, 25.000000, 30.000000, 44.000000, 42.000000, 58.000000, 43.000000,188.000000,281.585900
170.000000, 30.000000,237.414581, 53.000000, 22.000000, 27.000000, 45.000000, 54.000000, 54.000000, 46.000000,203.000000,332.659900
170.000000, 30.000000,237.416794, 56.000000, 23.000000, 38.000000, 52.000000, 35.000000, 54.000000, 50.000000,195.000000,306.137900
170.000000, 30.000000,237.418991, 70.000000, 28.000000, 33.000000, 36.000000, 48.000000, 60.000000, 38.000000,200.000000,302.215900
170.000000, 30.000000,237.421265, 79.000000, 17.000000, 42.000000, 46.000000, 51.000000, 48.000000, 54.000000,187.000000,311.201100
170.000000, 30.000000,237.423477, 69.000000, 14.000000, 28.000000, 46.000000, 40.000000, 45.000000, 45.000000,199.000000,267.635100
170.000000, 30.000000,237.425674, 79.000000, 27.000000, 37.000000, 46.000000, 45.000000, 60.000000, 54.000000,201.000000,370.985900
170.000000, 30.000000,237.427887, 69.000000, 18.000000, 45.000000, 49.000000, 48.000000, 48.000000, 44.000000,192.000000,295.493100
170.000000, 30.000000,237.430084, 79.000000, 21.000000, 39.000000, 46.000000, 39.000000, 52.000000, 39.000000,158.000000,163.645900
170.000000, 30.000000,237.432358, 86.000000, 16.000000, 29.000000, 36.000000, 37.000000, 41.000000, 39.000000,169.000000,141.411100
170.000000, 30.000000,237.434570,107.000000, 17.000000, 29.000000, 39.000000, 53.000000, 49.000000, 42.000000,174.000000,240.221100
170.000000, 30.000000,237.436768, 64.000000, 27.000000, 31.000000, 31.000000, 45.000000, 49.000000, 32.000000,165.000000,143.081400
170.000000, 30.000000,237.438980, 62.000000, 18.000000, 15.000000, 38.000000, 41.000000, 34.000000, 40.000000,161.000000,104.979500
170.000000, 30.000000,237.441254, 76.000000, 25.000000, 33.000000, 31.000000, 40.000000, 36.000000, 31.000000,141.000000, 35.743800
170.000000, 30.000000,237.443451, 59.000000, 23.000000, 22.000000, 34.000000, 28.000000, 34.000000, 51.000000,143.000000, 60.086800
170.000000, 30.000000,237.445663, 80.000000, 23.000000, 36.000000, 38.000000, 38.000000, 41.000000, 33.000000,159.000000,108.485900
170.000000, 30.000000,237.447861, 75.000000, 21.000000, 29.000000, 30.000000, 29.000000, 34.000000, 40.000000,156.000000, 74.832800
170.000000, 30.000000,246.422729, 69.000000, 40.000000, 58.000000, 72.000000, 54.000000, 71.000000, 52.000000,221.000000,554.387900
