#GET [h], A15_xpos-J2000[km], A15_ypos-J2000[km], A15_zpos-J2000[km], A15_xvel-J2000[km/s], A15_yvel-J2000[km/s], A15_zvel-J2000[km/s],XRay_point_RA [h], XRay_point_DEC [deg]
227.76826,102100.25,-313665.94,-158023.31,-0.21804546,0.74755152,0.19501421,18.429137,64.152801
227.76917,102099.53,-313663.49,-158022.67,-0.21801112,0.74755117,0.19502531,18.410836,64.272983
227.77007,102098.83,-313661.07,-158022.04,-0.21797718,0.74755082,0.19503629,18.392395,64.392725
227.77097,102098.12,-313658.65,-158021.4,-0.21794326,0.74755047,0.19504726,18.373817,64.512075
227.77188,102097.41,-313656.2,-158020.77,-0.21790898,0.74755012,0.19505835,18.355101,64.631011
227.77278,102096.7,-313653.78,-158020.13,-0.21787509,0.74754978,0.19506932,18.336242,64.749513
227.77368,102096,-313651.35,-158019.5,-0.21784122,0.74754943,0.19508028,18.317244,64.867601
227.77458,102095.29,-313648.93,-158018.87,-0.21780737,0.74754909,0.19509123,18.298099,64.985252
227.77548,102094.58,-313646.51,-158018.24,-0.21777353,0.74754875,0.19510219,18.278812,65.102471
227.77646,102093.82,-313643.87,-158017.55,-0.21773671,0.74754839,0.19511411,18.257879,65.22822
227.77736,102093.11,-313641.45,-158016.92,-0.21770292,0.74754805,0.19512506,18.238286,65.344519
227.77826,102092.41,-313639.03,-158016.28,-0.21766914,0.74754772,0.195136,18.218546,65.460367
227.77916,102091.7,-313636.61,-158015.65,-0.21763538,0.74754739,0.19514694,18.198655,65.575763
227.78008,102090.98,-313634.13,-158015.01,-0.21760089,0.74754705,0.19515811,18.178615,65.690711
227.78098,102090.28,-313631.71,-158014.37,-0.21756716,0.74754673,0.19516905,18.15842,65.805177
227.78188,102089.57,-313629.29,-158013.74,-0.21753346,0.7475464,0.19517997,18.138069,65.91917
227.78278,102088.87,-313626.87,-158013.11,-0.21749977,0.74754608,0.1951909,18.117566,66.03271
227.78368,102088.16,-313624.45,-158012.48,-0.2174661,0.74754576,0.19520181,18.100428,66.131597
227.78465,102087.4,-313621.84,-158011.79,-0.21742984,0.74754542,0.19521358,18.100662,66.16254
227.78555,102086.7,-313619.42,-158011.16,-0.2173962,0.7475451,0.19522449,18.100879,66.191276
227.78645,102086,-313617,-158010.53,-0.21736259,0.74754478,0.1952354,18.101097,66.220008
227.78735,102085.29,-313614.57,-158009.9,-0.217329,0.74754447,0.1952463,18.101317,66.248739
227.78827,102084.57,-313612.1,-158009.25,-0.21729467,0.74754415,0.19525744,18.101542,66.277501
227.78917,102083.87,-313609.68,-158008.62,-0.21726112,0.74754384,0.19526834,18.101765,66.306246
227.79007,102083.17,-313607.26,-158007.98,-0.21722758,0.74754354,0.19527923,18.101987,66.334988
227.79097,102082.46,-313604.83,-158007.35,-0.21719405,0.74754323,0.19529012,18.102214,66.363746
227.79187,102081.76,-313602.41,-158006.72,-0.21716055,0.74754293,0.195301,18.10244,66.392499
