#GET [h], theta_SUN [deg], phi_SUN [deg], theta_MOON [deg], phi_MOON [deg], theta_EARTH [deg], phi_EARTH [deg] 
224.91785,121.46829,132.7263,7.2354732,-153.49463,95.883736,127.93002
224.91882,121.47943,132.76002,7.1891406,-153.52814,95.898132,127.94232
224.91972,121.48975,132.79135,7.1461265,-153.55995,95.911485,127.95376
224.92062,121.50009,132.82271,7.1031436,-153.59261,95.924864,127.96521
224.92152,121.51038,132.85406,7.0601567,-153.6258,95.938215,127.97665
224.92242,121.52064,132.88541,7.017188,-153.65958,95.951554,127.9881
224.92334,121.5309,132.91677,6.974094,-153.69108,95.964885,127.99958
224.92514,121.55136,132.97953,6.888221,-153.76231,95.991566,128.0225
224.92604,121.56155,133.01092,6.8453051,-153.79885,96.004881,128.03396
224.92694,121.57173,133.04231,6.8023977,-153.8363,96.01821,128.04543
224.92792,121.58267,133.07612,6.7561367,-153.87566,96.032539,128.05779
224.92882,121.5928,133.10752,6.7132543,-153.91456,96.045843,128.06926
224.92972,121.60291,133.13894,6.6703972,-153.95422,96.059145,128.08074
224.93062,121.613,133.17036,6.6275414,-153.99462,96.072433,128.09222
224.93153,121.6231,133.20181,6.5846449,-154.03447,96.085742,128.10373
224.93243,121.63317,133.23324,6.5418213,-154.07658,96.099031,128.11521
224.93333,121.6432,133.26468,6.4990157,-154.11939,96.112303,128.12671
224.93423,121.63521,133.25567,6.4949951,-153.90248,96.103497,128.12147
224.93513,121.62255,133.23614,6.5012513,-153.61857,96.08896,128.11188
224.93611,121.60888,133.2151,6.5080944,-153.31177,96.073273,128.10157
224.93701,121.59617,133.19556,6.5146879,-153.02921,96.058699,128.09196
224.93791,121.58349,133.17606,6.5214535,-152.74765,96.044154,128.08239
224.93881,121.57077,133.15655,6.5283797,-152.46662,96.029575,128.0728
224.93973,121.55805,133.13705,6.5353539,-152.18335,96.015,128.06323
224.94063,121.54531,133.11755,6.5426102,-151.90391,96.000412,128.05364
224.94153,121.53259,133.09807,6.5500333,-151.6255,95.985846,128.04405
224.94243,121.51983,133.07859,6.5576104,-151.34768,95.971248,128.03446
224.94333,121.50707,133.05912,6.5653541,-151.07071,95.956649,128.02486
224.94423,121.49432,133.03966,6.5732619,-150.79478,95.94207,128.01527
224.9452,121.48056,133.0187,6.5819466,-150.49827,95.92634,128.00494
