# RA, Dec, Time, Ch0, Ch1, Ch2, Ch3, Ch4, Ch5, Ch6, Ch7, Total
167.000000, 31.000000,226.538651, 92.000000,118.000000, 91.000000, 95.000000, 63.000000, 72.000000, 58.000000,181.000000,1334.511800
167.000000, 31.000000,226.540848, 95.000000,119.000000,117.000000, 71.000000, 63.000000, 60.000000, 52.000000,168.000000,1166.191800
167.000000, 31.000000,226.543060, 98.000000,102.000000, 92.000000,108.000000, 56.000000, 62.000000, 45.000000,158.000000,1070.651800
167.000000, 31.000000,226.545334, 88.000000,125.000000,103.000000, 90.000000, 68.000000, 72.000000, 42.000000,164.000000,1193.031800
167.000000, 31.000000,226.547531,104.000000,117.000000,100.000000, 99.000000, 72.000000, 71.000000, 68.000000,159.000000,1341.711800
167.000000, 31.000000,226.549744,108.000000,118.000000, 90.000000, 91.000000, 60.000000, 54.000000, 46.000000,141.000000,940.191800
167.000000, 31.000000,226.551941, 91.000000, 91.000000,111.000000, 78.000000, 61.000000, 71.000000, 50.000000,169.000000,1138.651800
167.000000, 31.000000,226.554153, 91.000000,100.000000, 96.000000, 89.000000, 59.000000, 61.000000, 45.000000,184.000000,1167.291800
167.000000, 31.000000,226.556427,104.000000,121.000000,121.000000, 80.000000, 81.000000, 61.000000, 45.000000,154.000000,1185.451800
167.000000, 31.000000,226.558624, 94.000000,112.000000,103.000000, 88.000000, 66.000000, 62.000000, 49.000000,175.000000,1216.151800
167.000000, 31.000000,226.560837, 87.000000, 91.000000, 94.000000, 74.000000, 48.000000, 48.000000, 56.000000,155.000000,852.531800
167.000000, 31.000000,226.698502, 59.000000, 19.000000, 44.000000, 48.000000, 42.000000, 48.000000, 45.000000,194.000000,288.793100
167.000000, 31.000000,226.700714, 69.000000, 29.000000, 43.000000, 42.000000, 42.000000, 47.000000, 42.000000,190.000000,264.777900
167.000000, 31.000000,226.782913, 64.000000, 25.000000, 41.000000, 36.000000, 43.000000, 52.000000, 41.000000,160.000000,164.707900
167.000000, 31.000000,226.785126, 87.000000, 35.000000, 33.000000, 34.000000, 52.000000, 45.000000, 46.000000,182.000000,263.213400
167.000000, 31.000000,226.787323, 67.000000, 27.000000, 30.000000, 53.000000, 36.000000, 46.000000, 51.000000,191.000000,274.697900
167.000000, 31.000000,226.789520, 56.000000, 30.000000, 31.000000, 46.000000, 46.000000, 51.000000, 35.000000,184.000000,236.237900
167.000000, 31.000000,226.791718, 85.000000, 34.000000, 38.000000, 37.000000, 38.000000, 52.000000, 46.000000,179.000000,248.435900
167.000000, 31.000000,226.794006, 71.000000, 28.000000, 44.000000, 41.000000, 50.000000, 35.000000, 40.000000,167.000000,180.110300
167.000000, 31.000000,226.796219, 65.000000, 15.000000, 19.000000, 36.000000, 38.000000, 56.000000, 39.000000,193.000000,237.355100
167.000000, 31.000000,226.798401, 73.000000, 29.000000, 30.000000, 42.000000, 36.000000, 50.000000, 34.000000,181.000000,195.145900
167.000000, 31.000000,226.800613, 53.000000, 19.000000, 33.000000, 44.000000, 37.000000, 33.000000, 44.000000,206.000000,263.327500
