# RA, Dec, Time, Ch0, Ch1, Ch2, Ch3, Ch4, Ch5, Ch6, Ch7, Total
167.000000, 32.000000,237.303574, 67.000000, 32.000000, 39.000000, 45.000000, 36.000000, 60.000000, 42.000000,166.000000,211.227900
167.000000, 32.000000,237.305786, 70.000000, 24.000000, 22.000000, 48.000000, 42.000000, 47.000000, 37.000000,166.000000,161.887900
167.000000, 32.000000,237.307983, 89.000000, 17.000000, 47.000000, 36.000000, 46.000000, 40.000000, 52.000000,172.000000,229.441100
167.000000, 32.000000,237.310196, 67.000000, 23.000000, 31.000000, 37.000000, 38.000000, 45.000000, 40.000000,157.000000,111.207900
167.000000, 32.000000,237.312469, 78.000000, 24.000000, 29.000000, 47.000000, 36.000000, 52.000000, 51.000000,179.000000,243.685900
167.000000, 32.000000,237.314667, 69.000000, 10.000000, 33.000000, 46.000000, 41.000000, 49.000000, 29.000000,177.000000,185.349100
167.000000, 32.000000,237.316879, 67.000000, 17.000000, 42.000000, 40.000000, 42.000000, 48.000000, 45.000000,166.000000,185.093100
167.000000, 32.000000,237.319077, 67.000000, 26.000000, 34.000000, 53.000000, 30.000000, 43.000000, 42.000000,160.000000,146.502900
167.000000, 32.000000,237.321289, 67.000000, 22.000000, 37.000000, 43.000000, 36.000000, 46.000000, 39.000000,161.000000,137.247900
167.000000, 32.000000,237.323563, 61.000000, 21.000000, 20.000000, 43.000000, 45.000000, 52.000000, 41.000000,175.000000,205.089900
167.000000, 32.000000,237.325760, 52.000000, 29.000000, 36.000000, 42.000000, 33.000000, 43.000000, 45.000000,171.000000,175.797900
167.000000, 32.000000,237.327972, 55.000000, 26.000000, 25.000000, 31.000000, 43.000000, 54.000000, 44.000000,173.000000,199.917400
167.000000, 32.000000,237.330170, 71.000000, 19.000000, 30.000000, 43.000000, 35.000000, 42.000000, 36.000000,177.000000,156.831100
167.000000, 32.000000,237.332443, 68.000000, 17.000000, 28.000000, 37.000000, 41.000000, 49.000000, 41.000000,167.000000,153.615100
167.000000, 32.000000,237.334656, 79.000000, 21.000000, 37.000000, 40.000000, 34.000000, 39.000000, 37.000000,143.000000, 58.135900
167.000000, 32.000000,237.336853, 61.000000, 17.000000, 34.000000, 39.000000, 35.000000, 32.000000, 43.000000,155.000000, 91.227500
167.000000, 32.000000,263.869904, 71.000000, 16.000000, 30.000000, 39.000000, 38.000000, 30.000000, 34.000000,189.000000,175.035500
167.000000, 32.000000,263.872131, 64.000000, 29.000000, 28.000000, 51.000000, 41.000000, 30.000000, 40.000000,157.000000,125.784300
167.000000, 32.000000,263.874329, 73.000000, 18.000000, 39.000000, 41.000000, 40.000000, 40.000000, 28.000000,169.000000,140.827100
167.000000, 32.000000,263.876526, 64.000000, 26.000000, 30.000000, 59.000000, 27.000000, 44.000000, 38.000000,161.000000,146.222900
167.000000, 32.000000,263.878815, 70.000000, 33.000000, 33.000000, 55.000000, 43.000000, 42.000000, 43.000000,151.000000,150.455900
167.000000, 32.000000,263.881012, 78.000000, 18.000000, 44.000000, 33.000000, 33.000000, 33.000000, 38.000000,150.000000, 74.673000
202.000000, 82.000000,237.339066, 61.000000, 26.000000, 27.000000, 48.000000, 24.000000, 53.000000, 36.000000,150.000000,106.754900
202.000000, 82.000000,237.341263, 70.000000, 24.000000, 26.000000, 23.000000, 38.000000, 31.000000, 30.000000,148.000000, 40.615800
202.000000, 82.000000,237.343536, 66.000000, 21.000000, 35.000000, 48.000000, 40.000000, 36.000000, 46.000000,147.000000,102.692300
202.000000, 82.000000,237.345749, 66.000000, 28.000000, 27.000000, 32.000000, 39.000000, 38.000000, 46.000000,155.000000,106.357400
302.000000,107.000000,237.350159, 64.000000, 15.000000, 28.000000, 43.000000, 46.000000, 44.000000, 44.000000,179.000000,207.765100
302.000000,107.000000,237.352432, 79.000000, 25.000000, 32.000000, 37.000000, 44.000000, 51.000000, 51.000000,180.000000,249.795900
302.000000,107.000000,237.354630, 73.000000, 24.000000, 29.000000, 37.000000, 43.000000, 37.000000, 36.000000,174.000000,146.735900
302.000000,107.000000,237.356842, 69.000000, 20.000000, 30.000000, 43.000000, 44.000000, 43.000000, 40.000000,179.000000,192.743100
302.000000,107.000000,237.359039, 84.000000, 20.000000, 36.000000, 43.000000, 39.000000, 33.000000, 29.000000,170.000000,142.621500
307.000000,107.000000,237.361252, 58.000000, 13.000000, 33.000000, 45.000000, 43.000000, 48.000000, 45.000000,178.000000,220.043100
307.000000,107.000000,237.363525, 69.000000, 17.000000, 47.000000, 39.000000, 43.000000, 53.000000, 38.000000,180.000000,229.443100
307.000000,107.000000,237.365723, 59.000000, 22.000000, 35.000000, 41.000000, 39.000000, 45.000000, 38.000000,185.000000,206.477900
307.000000,107.000000,237.367935, 72.000000, 14.000000, 40.000000, 36.000000, 39.000000, 61.000000, 44.000000,195.000000,288.861100
307.000000,107.000000,237.370132, 59.000000, 21.000000, 36.000000, 53.000000, 41.000000, 55.000000, 53.000000,183.000000,287.847900
302.000000,112.000000,237.372421, 80.000000, 20.000000, 34.000000, 43.000000, 40.000000, 43.000000, 45.000000,192.000000,253.201100
302.000000,112.000000,237.374619, 80.000000, 30.000000, 28.000000, 43.000000, 57.000000, 62.000000, 54.000000,192.000000,359.567900
302.000000,112.000000,237.376816, 91.000000, 25.000000, 39.000000, 51.000000, 51.000000, 52.000000, 38.000000,192.000000,315.315900
302.000000,112.000000,237.379028, 69.000000, 19.000000, 41.000000, 47.000000, 46.000000, 46.000000, 41.000000,195.000000,278.953100
302.000000,112.000000,237.381241, 65.000000, 29.000000, 30.000000, 43.000000, 55.000000, 55.000000, 46.000000,188.000000,297.087900
297.000000,112.000000,237.383499, 81.000000, 19.000000, 27.000000, 39.000000, 42.000000, 44.000000, 42.000000,192.000000,238.123100
297.000000,112.000000,237.385712, 61.000000, 25.000000, 27.000000, 50.000000, 56.000000, 48.000000, 36.000000,196.000000,287.429900
297.000000,112.000000,237.387924, 64.000000, 31.000000, 35.000000, 50.000000, 58.000000, 62.000000, 51.000000,199.000000,388.437900
297.000000,112.000000,237.390121, 61.000000, 26.000000, 40.000000, 41.000000, 45.000000, 37.000000, 49.000000,209.000000,315.187900
297.000000,112.000000,237.392395, 68.000000, 24.000000, 34.000000, 40.000000, 47.000000, 42.000000, 61.000000,178.000000,253.177900
307.000000,112.000000,237.394608, 76.000000, 29.000000, 32.000000, 48.000000, 53.000000, 39.000000, 55.000000,203.000000,343.375900
312.000000,107.000000,237.403488, 66.000000, 27.000000, 24.000000, 43.000000, 56.000000, 68.000000, 59.000000,224.000000,470.539900
312.000000,107.000000,237.405701, 64.000000, 36.000000, 35.000000, 38.000000, 52.000000, 51.000000, 58.000000,208.000000,381.617900
312.000000,107.000000,237.407898, 81.000000, 20.000000, 42.000000, 53.000000, 38.000000, 43.000000, 43.000000,221.000000,363.801100
312.000000,107.000000,237.410110, 64.000000, 29.000000, 35.000000, 45.000000, 45.000000, 38.000000, 51.000000,237.000000,412.797900
312.000000,107.000000,237.412384, 86.000000, 25.000000, 30.000000, 44.000000, 42.000000, 58.000000, 43.000000,188.000000,281.585900
312.000000,107.000000,237.414581, 53.000000, 22.000000, 27.000000, 45.000000, 54.000000, 54.000000, 46.000000,203.000000,332.659900
312.000000,107.000000,246.422729, 69.000000, 40.000000, 58.000000, 72.000000, 54.000000, 71.000000, 52.000000,221.000000,554.387900
312.000000,107.000000,246.425003, 82.000000, 33.000000, 44.000000, 66.000000, 59.000000, 79.000000, 50.000000,193.000000,463.495900
312.000000,107.000000,273.597931, 77.000000, 24.000000, 31.000000, 52.000000, 42.000000, 47.000000, 32.000000,204.000000,285.471900
312.000000,107.000000,273.600128, 83.000000, 33.000000, 28.000000, 50.000000, 45.000000, 48.000000, 41.000000,190.000000,280.977900
312.000000,107.000000,273.602325, 68.000000, 22.000000, 36.000000, 51.000000, 54.000000, 44.000000, 61.000000,206.000000,378.757900
312.000000,107.000000,273.604614, 70.000000, 26.000000, 26.000000, 48.000000, 42.000000, 47.000000, 45.000000,202.000000,296.647900
312.000000,107.000000,273.606812, 56.000000, 14.000000, 26.000000, 33.000000, 45.000000, 36.000000, 44.000000,183.000000,187.317000
312.000000,107.000000,273.680054,131.000000, 28.000000, 45.000000, 39.000000, 37.000000, 42.000000, 52.000000,178.000000,283.655900
312.000000,107.000000,273.682343, 91.000000, 26.000000, 40.000000, 36.000000, 40.000000, 38.000000, 38.000000,184.000000,211.865900
312.000000,107.000000,273.684540, 68.000000, 30.000000, 34.000000, 40.000000, 45.000000, 49.000000, 48.000000,189.000000,272.697900
312.000000,107.000000,273.686737, 79.000000, 26.000000, 37.000000, 42.000000, 39.000000, 45.000000, 33.000000,189.000000,223.905900
312.000000,107.000000,273.688934, 54.000000, 15.000000, 29.000000, 37.000000, 35.000000, 50.000000, 45.000000,173.000000,172.983100
312.000000,107.000000,273.691132, 72.000000, 31.000000, 42.000000, 48.000000, 33.000000, 53.000000, 35.000000,185.000000,240.315900
312.000000,107.000000,273.693420, 77.000000, 31.000000, 35.000000, 48.000000, 42.000000, 48.000000, 49.000000,174.000000,243.815900
312.000000,107.000000,273.695618, 66.000000, 23.000000, 28.000000, 41.000000, 41.000000, 54.000000, 46.000000,208.000000,315.689900
312.000000,107.000000,273.697845, 58.000000, 30.000000, 43.000000, 45.000000, 44.000000, 46.000000, 43.000000,182.000000,250.787900
307.000000,102.000000,237.416794, 56.000000, 23.000000, 38.000000, 52.000000, 35.000000, 54.000000, 50.000000,195.000000,306.137900
307.000000,102.000000,237.418991, 70.000000, 28.000000, 33.000000, 36.000000, 48.000000, 60.000000, 38.000000,200.000000,302.215900
307.000000,102.000000,237.421265, 79.000000, 17.000000, 42.000000, 46.000000, 51.000000, 48.000000, 54.000000,187.000000,311.201100
307.000000,102.000000,237.423477, 69.000000, 14.000000, 28.000000, 46.000000, 40.000000, 45.000000, 45.000000,199.000000,267.635100
302.000000,102.000000,237.425674, 79.000000, 27.000000, 37.000000, 46.000000, 45.000000, 60.000000, 54.000000,201.000000,370.985900
302.000000,102.000000,237.427887, 69.000000, 18.000000, 45.000000, 49.000000, 48.000000, 48.000000, 44.000000,192.000000,295.493100
302.000000,102.000000,237.430084, 79.000000, 21.000000, 39.000000, 46.000000, 39.000000, 52.000000, 39.000000,158.000000,163.645900
302.000000,102.000000,237.432358, 86.000000, 16.000000, 29.000000, 36.000000, 37.000000, 41.000000, 39.000000,169.000000,141.411100
302.000000,102.000000,263.578979, 80.000000, 28.000000, 40.000000, 46.000000, 50.000000, 51.000000, 42.000000,206.000000,351.085900
297.000000,102.000000,237.436768, 64.000000, 27.000000, 31.000000, 31.000000, 45.000000, 49.000000, 32.000000,165.000000,143.081400
297.000000,102.000000,237.438980, 62.000000, 18.000000, 15.000000, 38.000000, 41.000000, 34.000000, 40.000000,161.000000,104.979500
297.000000,102.000000,237.441254, 76.000000, 25.000000, 33.000000, 31.000000, 40.000000, 36.000000, 31.000000,141.000000, 35.743800
297.000000,102.000000,237.443451, 59.000000, 23.000000, 22.000000, 34.000000, 28.000000, 34.000000, 51.000000,143.000000, 60.086800
297.000000,102.000000,237.445663, 80.000000, 23.000000, 36.000000, 38.000000, 38.000000, 41.000000, 33.000000,159.000000,108.485900
292.000000,102.000000,237.450073, 77.000000, 20.000000, 24.000000, 31.000000, 43.000000, 41.000000, 41.000000,134.000000, 59.352600
292.000000,102.000000,237.452347, 78.000000, 24.000000, 31.000000, 36.000000, 43.000000, 38.000000, 32.000000,166.000000,121.741900
292.000000,102.000000,237.454544, 62.000000, 25.000000, 24.000000, 40.000000, 29.000000, 39.000000, 42.000000,168.000000,130.494900
292.000000,102.000000,237.456757, 66.000000, 20.000000, 27.000000, 39.000000, 37.000000, 41.000000, 25.000000,159.000000, 84.391100
292.000000,102.000000,237.458954, 86.000000, 23.000000, 25.000000, 25.000000, 42.000000, 43.000000, 35.000000,130.000000, 57.817400
287.000000,102.000000,237.461227, 65.000000, 14.000000, 29.000000, 49.000000, 39.000000, 32.000000, 27.000000,151.000000, 70.913500
287.000000,102.000000,237.463440, 74.000000, 17.000000, 37.000000, 39.000000, 29.000000, 32.000000, 44.000000,141.000000, 54.630500
287.000000,102.000000,237.465637, 70.000000, 21.000000, 38.000000, 53.000000, 38.000000, 40.000000, 38.000000,150.000000,109.055900
287.000000,102.000000,237.467850, 60.000000, 17.000000, 39.000000, 28.000000, 27.000000, 30.000000, 38.000000,152.000000, 65.660000
287.000000,102.000000,237.470047, 53.000000, 24.000000, 30.000000, 37.000000, 23.000000, 38.000000, 40.000000,165.000000,109.042900
282.000000,102.000000,245.237106, 16.000000, 23.000000,  8.000000, 15.000000, 10.000000,  9.000000,  6.000000, 46.000000,  6.749600
282.000000,102.000000,245.245987, 24.000000, 25.000000, 22.000000, 10.000000, 16.000000, 19.000000, 10.000000, 56.000000, 11.469600
282.000000,102.000000,245.274857, 73.000000, 13.000000,  7.000000,  6.000000,  4.000000,  2.000000,  3.000000, 42.000000,  3.258000
282.000000,102.000000,245.294846, 73.000000,  4.000000,  3.000000,  4.000000,  2.000000, 10.000000,  2.000000, 34.000000,  3.258000
282.000000,102.000000,245.308136, 74.000000,  6.000000,  5.000000,  4.000000,  3.000000,  4.000000,  2.000000, 37.000000,  4.158000
282.000000,102.000000,245.314835, 97.000000,  5.000000,  7.000000,  7.000000,  1.000000,  2.000000,  2.000000, 41.000000, 24.858000
282.000000,102.000000,245.328125, 70.000000,  8.000000,  5.000000,  5.000000,  2.000000,  4.000000,  6.000000, 30.000000,  0.558000
277.000000,102.000000,245.881012, 99.000000,155.000000,303.000000,410.000000,421.000000,445.000000,381.000000,1498.000000,8097.625900
277.000000,102.000000,245.883209,118.000000,182.000000,310.000000,356.000000,398.000000,449.000000,448.000000,1502.000000,8210.965900
277.000000,102.000000,245.885422,111.000000,174.000000,310.000000,427.000000,381.000000,451.000000,399.000000,1512.000000,8192.865900
277.000000,102.000000,245.887619,121.000000,193.000000,295.000000,419.000000,413.000000,457.000000,413.000000,1476.000000,8192.855900
277.000000,102.000000,245.889893,130.000000,172.000000,303.000000,421.000000,368.000000,412.000000,350.000000,1465.000000,7796.725900
277.000000,102.000000,245.892105,130.000000,185.000000,316.000000,378.000000,397.000000,458.000000,397.000000,1517.000000,8205.235900
277.000000,102.000000,245.894302,139.000000,189.000000,326.000000,406.000000,371.000000,453.000000,415.000000,1588.000000,8483.555900
277.000000,102.000000,245.896515,113.000000,208.000000,336.000000,395.000000,375.000000,435.000000,374.000000,1477.000000,7993.565900
277.000000,102.000000,245.898788,127.000000,208.000000,339.000000,438.000000,406.000000,425.000000,432.000000,1484.000000,8298.615900
277.000000,102.000000,245.900986,134.000000,179.000000,309.000000,408.000000,396.000000,457.000000,420.000000,1417.000000,7989.535900
277.000000,102.000000,245.903198,128.000000,202.000000,339.000000,362.000000,391.000000,443.000000,407.000000,1423.000000,7916.345900
